date,temp_max,temp_min,temp
2000-01-01,28.5,23.8,26.15
2000-01-02,27.1,24.0,25.55
2000-01-03,28.0,23.6,25.8
2000-01-04,28.0,23.4,25.7
2000-01-05,27.8,23.5,25.65
2000-01-06,27.4,23.5,25.45
2000-01-07,28.0,23.1,25.55
2000-01-08,27.6,23.6,25.6
2000-01-09,28.4,24.0,26.2
2000-01-10,27.9,24.3,26.1
2000-01-11,27.2,23.4,25.299999999999997
2000-01-12,27.7,23.4,25.549999999999997
2000-01-13,27.4,23.6,25.5
2000-01-14,26.8,23.5,25.15
2000-01-15,27.9,24.2,26.049999999999997
2000-01-16,29.0,23.0,26.0
2000-01-17,28.8,24.0,26.4
2000-01-18,28.8,24.5,26.65
2000-01-19,29.0,24.8,26.9
2000-01-20,31.8,25.0,28.4
2000-01-21,31.7,24.1,27.9
2000-01-22,28.5,24.8,26.65
2000-01-23,30.1,25.0,27.55
2000-01-24,29.6,25.0,27.3
2000-01-25,29.5,25.0,27.25
2000-01-26,29.1,24.8,26.950000000000003
2000-01-27,30.4,25.2,27.799999999999997
2000-01-28,30.5,24.6,27.55
2000-01-29,29.0,25.1,27.05
2000-01-30,28.9,24.1,26.5
2000-01-31,28.9,24.5,26.7
2000-02-01,28.8,24.2,26.5
2000-02-02,31.1,24.6,27.85
2000-02-03,32.5,25.5,29.0
2000-02-04,32.6,26.0,29.3
2000-02-05,31.4,25.5,28.45
2000-02-06,30.8,25.4,28.1
2000-02-07,30.0,25.2,27.6
2000-02-08,29.7,24.8,27.25
2000-02-09,29.7,24.3,27.0
2000-02-10,28.8,24.4,26.6
2000-02-11,29.2,24.5,26.85
2000-02-12,28.5,24.0,26.25
2000-02-13,28.2,23.9,26.049999999999997
2000-02-14,27.2,23.5,25.35
2000-02-15,27.5,23.6,25.55
2000-02-16,25.5,23.5,24.5
2000-02-17,27.6,23.5,25.55
2000-02-18,29.0,24.3,26.65
2000-02-19,27.9,25.1,26.5
2000-02-20,26.6,23.6,25.1
2000-02-21,26.3,23.1,24.700000000000003
2000-02-22,26.5,23.2,24.85
2000-02-23,25.5,23.5,24.5
2000-02-24,26.7,23.4,25.049999999999997
2000-02-25,27.5,23.8,25.65
2000-02-26,29.1,24.3,26.700000000000003
2000-02-27,27.8,24.8,26.3
2000-02-28,28.0,23.6,25.8
2000-02-29,28.5,24.8,26.65
2000-03-01,28.5,23.6,26.05
2000-03-02,28.0,23.8,25.9
2000-03-03,28.2,23.8,26.0
2000-03-04,26.9,24.0,25.45
2000-03-05,27.6,23.5,25.55
2000-03-06,27.0,23.9,25.45
2000-03-07,28.5,23.3,25.9
2000-03-08,29.1,24.0,26.55
2000-03-09,28.8,25.2,27.0
2000-03-10,28.2,24.3,26.25
2000-03-11,29.0,24.0,26.5
2000-03-12,30.5,24.1,27.3
2000-03-13,30.9,24.9,27.9
2000-03-14,30.8,25.7,28.25
2000-03-15,29.9,25.1,27.5
2000-03-16,29.0,25.1,27.05
2000-03-17,28.8,24.5,26.65
2000-03-18,28.4,23.6,26.0
2000-03-19,28.5,24.5,26.5
2000-03-20,28.5,24.4,26.45
2000-03-21,29.0,25.1,27.05
2000-03-22,28.2,23.7,25.95
2000-03-23,27.6,25.2,26.4
2000-03-24,28.2,24.2,26.2
2000-03-25,29.1,24.8,26.950000000000003
2000-03-26,28.0,23.5,25.75
2000-03-27,28.2,23.6,25.9
2000-03-28,28.7,24.6,26.65
2000-03-29,28.9,24.6,26.75
2000-03-30,27.6,23.1,25.35
2000-03-31,27.4,23.1,25.25
2000-04-01,27.0,23.8,25.4
2000-04-02,28.2,23.8,26.0
2000-04-03,28.6,25.2,26.9
2000-04-04,28.9,23.8,26.35
2000-04-05,28.2,23.9,26.049999999999997
2000-04-06,29.1,23.6,26.35
2000-04-07,29.1,24.5,26.8
2000-04-08,26.9,24.0,25.45
2000-04-09,28.7,24.9,26.799999999999997
2000-04-10,28.7,25.2,26.95
2000-04-11,28.8,24.9,26.85
2000-04-12,26.7,24.0,25.35
2000-04-13,27.3,23.5,25.4
2000-04-14,28.4,24.4,26.4
2000-04-15,27.5,23.6,25.55
