lon,date,temp_max,temp_min,precipitacao,temp
-37.07167,2003-01-01,29.5,24.8,1.3,27.15
-37.07167,2003-01-02,31.0,25.1,0.0,28.05
-37.07167,2003-01-03,30.8,24.6,0.0,27.700000000000003
-37.07167,2003-01-04,31.0,24.9,0.0,27.95
-37.07167,2003-01-05,30.4,25.4,0.1,27.9
-37.07167,2003-01-06,30.9,24.9,0.0,27.9
-37.07167,2003-01-07,32.2,24.7,0.0,28.450000000000003
-37.07167,2003-01-08,31.7,25.6,0.0,28.65
-37.07167,2003-01-09,29.2,24.9,0.9,27.049999999999997
-37.07167,2003-01-10,28.9,24.3,1.7,26.6
-37.07167,2003-01-11,30.2,24.8,0.1,27.5
-37.07167,2003-01-12,32.0,25.0,0.0,28.5
-37.07167,2003-01-13,32.0,25.2,0.0,28.6
-37.07167,2003-01-14,32.0,25.0,0.0,28.5
-37.07167,2003-01-15,32.0,25.3,0.0,28.65
-37.07167,2003-01-16,30.4,25.8,0.0,28.1
-37.07167,2003-01-17,29.4,25.4,0.8,27.4
-37.07167,2003-01-18,29.7,25.5,0.8,27.6
-37.07167,2003-01-19,30.8,25.2,0.0,28.0
-37.07167,2003-01-20,30.3,25.4,0.3,27.85
-37.07167,2003-01-21,30.3,24.6,2.4,27.450000000000003
-37.07167,2003-01-22,29.9,25.0,1.3,27.45
-37.07167,2003-01-23,28.6,23.9,5.0,26.25
-37.07167,2003-01-24,28.7,24.1,2.0,26.4
-37.07167,2003-01-25,29.9,24.4,1.4,27.15
-37.07167,2003-01-26,28.6,24.0,1.0,26.3
-37.07167,2003-01-27,30.1,25.4,1.4,27.75
-37.07167,2003-01-28,29.9,25.0,5.5,27.45
-37.07167,2003-01-29,29.6,24.1,9.6,26.85
-37.07167,2003-01-30,29.0,24.3,3.6,26.65
-37.07167,2003-01-31,27.7,23.1,8.9,25.4
-37.07167,2003-02-01,27.7,23.0,10.4,25.35
-37.07167,2003-02-02,28.6,24.8,1.2,26.700000000000003
-37.07167,2003-02-03,29.6,24.9,2.9,27.25
-37.07167,2003-02-04,28.5,23.9,1.5,26.2
-37.07167,2003-02-05,28.5,24.1,1.9,26.3
-37.07167,2003-02-06,28.4,24.6,2.9,26.5
-37.07167,2003-02-07,29.0,24.0,2.1,26.5
-37.07167,2003-02-08,28.9,24.4,0.9,26.65
-37.07167,2003-02-09,28.1,23.4,2.2,25.75
-37.07167,2003-02-10,28.2,23.5,1.5,25.85
-37.07167,2003-02-11,28.9,25.0,0.6,26.95
-37.07167,2003-02-12,27.9,24.1,1.5,26.0
-37.07167,2003-02-13,28.9,24.1,4.1,26.5
-37.07167,2003-02-14,29.8,24.7,2.0,27.25
-37.07167,2003-02-15,30.0,25.3,0.9,27.65
-37.07167,2003-02-16,29.6,25.0,0.5,27.3
-37.07167,2003-02-17,29.7,25.1,0.0,27.4
-37.07167,2003-02-18,30.9,25.5,0.2,28.2
-37.07167,2003-02-19,29.4,25.4,3.7,27.4
-37.07167,2003-02-20,29.0,24.4,3.5,26.7
-37.07167,2003-02-21,27.9,24.5,4.9,26.2
-37.07167,2003-02-22,28.4,23.5,2.0,25.95
-37.07167,2003-02-23,29.0,24.8,1.5,26.9
-37.07167,2003-02-24,28.4,23.6,11.5,26.0
-37.07167,2003-02-25,28.0,23.5,3.7,25.75
-37.07167,2003-02-26,29.5,24.9,0.0,27.2
-37.07167,2003-02-27,29.1,24.6,0.8,26.85
-37.07167,2003-02-28,29.4,25.2,2.2,27.299999999999997
-37.07167,2003-03-01,29.9,24.8,2.3,27.35
-37.07167,2003-03-02,29.7,24.8,1.6,27.25
-37.07167,2003-03-03,29.5,25.1,1.4,27.3
-37.07167,2003-03-04,30.7,25.0,0.4,27.85
-37.07167,2003-03-05,30.0,25.5,0.6,27.75
-37.07167,2003-03-06,29.6,24.9,1.0,27.25
-37.07167,2003-03-07,29.2,25.0,1.0,27.1
-37.07167,2003-03-08,29.8,25.5,1.5,27.65
-37.07167,2003-03-09,29.9,25.3,4.0,27.6
-37.07167,2003-03-10,29.2,25.2,3.9,27.2
-37.07167,2003-03-11,30.0,24.6,1.3,27.3
-37.07167,2003-03-12,30.0,24.5,0.0,27.25
-37.07167,2003-03-13,30.5,25.8,0.5,28.15
-37.07167,2003-03-14,30.3,25.4,1.4,27.85
-37.07167,2003-03-15,28.4,24.1,10.8,26.25
-37.07167,2003-03-16,27.6,24.0,10.3,25.8
-37.07167,2003-03-17,29.2,24.1,9.4,26.65
-37.07167,2003-03-18,28.4,24.3,10.8,26.35
-37.07167,2003-03-19,29.4,23.8,9.4,26.6
-37.07167,2003-03-20,27.8,24.0,11.2,25.9
-37.07167,2003-03-21,27.8,23.7,3.7,25.75
-37.07167,2003-03-22,27.9,24.6,7.0,26.25
-37.07167,2003-03-23,28.4,24.2,4.6,26.299999999999997
-37.07167,2003-03-24,28.2,24.6,2.4,26.4
-37.07167,2003-03-25,28.4,23.5,3.3,25.95
-37.07167,2003-03-26,28.9,24.9,1.7,26.9
-37.07167,2003-03-27,28.9,24.8,2.6,26.85
-37.07167,2003-03-28,29.4,25.4,0.0,27.4
-37.07167,2003-03-29,29.7,24.6,0.0,27.15
-37.07167,2003-03-30,28.8,25.1,0.6,26.950000000000003
-37.07167,2003-03-31,28.9,25.2,0.6,27.049999999999997
-37.07167,2003-04-01,29.9,25.1,0.8,27.5
-37.07167,2003-04-02,29.6,24.9,0.4,27.25
-37.07167,2003-04-03,29.6,24.8,1.4,27.200000000000003
-37.07167,2003-04-04,30.1,26.2,0.3,28.15
-37.07167,2003-04-05,30.0,24.4,1.2,27.2
-37.07167,2003-04-06,30.0,25.3,1.2,27.65
-37.07167,2003-04-07,31.0,25.8,0.0,28.4
-37.07167,2003-04-08,31.5,25.7,0.1,28.6
-37.07167,2003-04-09,30.5,25.5,0.3,28.0
-37.07167,2003-04-10,29.9,24.5,0.7,27.2
-37.07167,2003-04-11,30.5,24.8,0.9,27.65
-37.07167,2003-04-12,30.7,25.2,0.0,27.95
-37.07167,2003-04-13,29.8,25.6,0.7,27.700000000000003
-37.07167,2003-04-14,29.4,25.0,0.9,27.2
-37.07167,2003-04-15,28.8,24.1,2.5,26.450000000000003
-37.07167,2003-04-16,29.6,24.5,0.1,27.05
-37.07167,2003-04-17,28.5,25.2,0.4,26.85
-37.07167,2003-04-18,28.7,24.5,0.4,26.6
-37.07167,2003-04-19,29.0,24.9,1.3,26.95
-37.07167,2003-04-20,27.9,23.9,3.4,25.9
-37.07167,2003-04-21,29.8,25.0,2.1,27.4
-37.07167,2003-04-22,29.4,24.0,3.5,26.7
-37.07167,2003-04-23,26.7,23.2,5.2,24.95
-37.07167,2003-04-24,29.2,23.2,1.3,26.2
-37.07167,2003-04-25,29.0,23.9,1.2,26.45
-37.07167,2003-04-26,29.0,24.5,1.9,26.75
-37.07167,2003-04-27,27.9,24.0,3.3,25.95
-37.07167,2003-04-28,28.9,24.4,2.1,26.65
-37.07167,2003-04-29,28.5,24.5,1.0,26.5
-37.07167,2003-04-30,28.5,25.0,2.3,26.75
-37.07167,2003-05-01,28.4,23.6,2.4,26.0
-37.07167,2003-05-02,28.8,24.2,1.5,26.5
-37.07167,2003-05-03,31.5,24.9,0.0,28.2
-37.07167,2003-05-04,27.6,24.9,23.4,26.25
-37.07167,2003-05-05,26.9,23.8,17.2,25.35
-37.07167,2003-05-06,27.8,23.6,7.8,25.700000000000003
-37.07167,2003-05-07,29.6,24.0,0.5,26.8
-37.07167,2003-05-08,28.4,24.9,0.1,26.65
-37.07167,2003-05-09,29.0,24.5,0.2,26.75
