date,temp_max,temp_min,temp
2002-01-01,30.4,25.1,27.75
2002-01-02,30.5,25.1,27.8
2002-01-03,30.2,25.5,27.85
2002-01-04,28.5,25.1,26.8
2002-01-05,29.8,25.3,27.55
2002-01-06,27.0,24.4,25.7
2002-01-07,26.3,24.1,25.200000000000003
2002-01-08,27.4,23.6,25.5
2002-01-09,28.6,24.4,26.5
2002-01-10,29.4,24.3,26.85
2002-01-11,28.8,24.4,26.6
2002-01-12,29.3,24.1,26.700000000000003
2002-01-13,30.1,24.4,27.25
2002-01-14,27.9,23.9,25.9
2002-01-15,28.2,24.0,26.1
2002-01-16,29.7,24.5,27.1
2002-01-17,28.9,24.2,26.549999999999997
2002-01-18,28.4,23.8,26.1
2002-01-19,28.3,23.5,25.9
2002-01-20,29.1,23.7,26.4
2002-01-21,29.7,23.7,26.7
2002-01-22,28.3,24.0,26.15
2002-01-23,29.2,23.6,26.4
2002-01-24,28.3,24.1,26.200000000000003
2002-01-25,29.5,23.8,26.65
2002-01-26,29.9,24.4,27.15
2002-01-27,29.9,24.4,27.15
2002-01-28,29.4,24.6,27.0
2002-01-29,29.4,24.3,26.85
2002-01-30,29.0,24.0,26.5
2002-01-31,29.1,24.0,26.55
2002-02-01,28.7,24.1,26.4
2002-02-02,29.7,24.0,26.85
2002-02-03,28.4,23.9,26.15
2002-02-04,29.8,24.2,27.0
2002-02-05,28.7,24.0,26.35
2002-02-06,28.2,23.9,26.049999999999997
2002-02-07,28.6,24.3,26.450000000000003
2002-02-08,27.7,23.8,25.75
2002-02-09,28.3,23.6,25.950000000000003
2002-02-10,27.6,24.0,25.8
2002-02-11,28.1,23.6,25.85
2002-02-12,25.3,23.2,24.25
2002-02-13,29.0,23.0,26.0
2002-02-14,28.5,23.9,26.2
2002-02-15,28.2,23.5,25.85
2002-02-16,28.9,23.7,26.299999999999997
2002-02-17,29.1,24.1,26.6
2002-02-18,29.9,24.4,27.15
2002-02-19,28.5,24.5,26.5
2002-02-20,29.3,24.9,27.1
2002-02-21,30.2,24.8,27.5
2002-02-22,31.7,24.4,28.049999999999997
2002-02-23,31.5,25.7,28.6
2002-02-24,30.2,25.5,27.85
2002-02-25,29.3,25.2,27.25
2002-02-26,30.0,24.7,27.35
2002-02-27,30.6,24.6,27.6
2002-02-28,30.0,24.7,27.35
2002-03-01,27.9,24.5,26.2
2002-03-02,29.3,24.1,26.700000000000003
2002-03-03,27.0,24.1,25.55
2002-03-04,25.5,23.5,24.5
2002-03-05,28.8,23.5,26.15
2002-03-06,28.6,23.3,25.950000000000003
2002-03-07,28.2,24.0,26.1
2002-03-08,27.4,23.8,25.6
2002-03-09,29.0,24.1,26.55
2002-03-10,27.8,23.8,25.8
2002-03-11,26.5,23.6,25.05
2002-03-12,30.1,23.4,26.75
2002-03-13,29.3,23.7,26.5
2002-03-14,30.1,24.3,27.200000000000003
2002-03-15,28.2,23.8,26.0
2002-03-16,28.5,24.1,26.3
2002-03-17,29.4,24.5,26.95
2002-03-18,29.1,23.9,26.5
2002-03-19,30.0,24.3,27.15
2002-03-20,29.6,24.1,26.85
2002-03-21,29.8,24.8,27.3
2002-03-22,29.3,24.2,26.75
2002-03-23,27.0,23.8,25.4
2002-03-24,28.5,24.0,26.25
2002-03-25,28.3,24.0,26.15
2002-03-26,28.4,24.3,26.35
2002-03-27,28.5,23.9,26.2
2002-03-28,30.4,24.0,27.2
2002-03-29,30.1,24.0,27.05
2002-03-30,28.8,24.2,26.5
2002-03-31,28.2,24.3,26.25
2002-04-01,29.3,23.9,26.6
2002-04-02,29.7,24.6,27.15
2002-04-03,29.1,24.7,26.9
2002-04-04,28.5,24.4,26.45
2002-04-05,28.2,24.0,26.1
2002-04-06,27.6,24.3,25.950000000000003
2002-04-07,28.3,23.6,25.950000000000003
2002-04-08,29.5,23.6,26.55
2002-04-09,27.4,24.0,25.7
2002-04-10,27.2,23.9,25.549999999999997
2002-04-11,27.4,23.4,25.4
2002-04-12,27.4,23.7,25.549999999999997
2002-04-13,29.7,23.7,26.7
2002-04-14,29.7,24.1,26.9
2002-04-15,28.2,24.3,26.25
2002-04-16,26.5,23.5,25.0
2002-04-17,29.4,23.7,26.549999999999997
2002-04-18,30.1,24.5,27.3
2002-04-19,29.4,24.4,26.9
2002-04-20,28.4,23.8,26.1
2002-04-21,27.0,24.5,25.75
2002-04-22,27.0,24.3,25.65
2002-04-23,26.3,23.9,25.1
2002-04-24,25.9,24.1,25.0
2002-04-25,27.5,24.2,25.85
2002-04-26,27.7,23.8,25.75
2002-04-27,28.1,23.2,25.65
2002-04-28,28.4,23.5,25.95
2002-04-29,29.4,23.7,26.549999999999997
2002-04-30,29.2,23.8,26.5
2002-05-01,29.0,24.1,26.55
2002-05-02,27.5,23.9,25.7
2002-05-03,29.1,23.9,26.5
2002-05-04,28.6,24.0,26.3
2002-05-05,29.0,24.3,26.65
2002-05-06,29.3,24.1,26.700000000000003
2002-05-07,29.4,23.8,26.6
2002-05-08,27.8,23.9,25.85
2002-05-09,27.7,23.3,25.5
2002-05-10,29.0,24.0,26.5
2002-05-11,29.6,24.7,27.15
2002-05-12,29.6,24.5,27.05
2002-05-13,29.7,24.1,26.9
2002-05-14,30.0,24.9,27.45
2002-05-15,28.4,24.8,26.6
2002-05-16,27.8,24.4,26.1
2002-05-17,29.1,24.3,26.700000000000003
2002-05-18,28.2,24.4,26.299999999999997
2002-05-19,29.3,24.7,27.0
2002-05-20,30.0,24.6,27.3
2002-05-21,30.3,24.9,27.6
2002-05-22,29.8,24.6,27.200000000000003
2002-05-23,29.6,25.1,27.35
2002-05-24,28.6,24.2,26.4
2002-05-25,28.3,24.0,26.15
2002-05-26,28.8,23.6,26.200000000000003
2002-05-27,29.8,24.2,27.0
2002-05-28,29.1,24.5,26.8
2002-05-29,28.6,24.3,26.450000000000003
2002-05-30,30.2,24.1,27.15
2002-05-31,28.6,24.0,26.3
2002-06-01,28.7,23.9,26.299999999999997
2002-06-02,27.8,23.7,25.75
2002-06-03,29.0,23.8,26.4
2002-06-04,29.8,24.0,26.9
2002-06-05,28.7,24.2,26.45
2002-06-06,29.1,24.2,26.65
2002-06-07,29.0,24.0,26.5
2002-06-08,28.8,23.7,26.25
