lon,date,temp_max,temp_min,temp
-48.50444,2008-01-01,27.8,24.0,25.9
-48.50444,2008-01-02,29.4,23.4,26.4
-48.50444,2008-01-03,30.0,23.9,26.95
-48.50444,2008-01-04,29.9,24.0,26.95
-48.50444,2008-01-05,28.0,24.3,26.15
-48.50444,2008-01-06,28.8,24.0,26.4
-48.50444,2008-01-07,30.2,24.6,27.4
-48.50444,2008-01-08,29.0,24.8,26.9
-48.50444,2008-01-09,28.0,24.2,26.1
-48.50444,2008-01-10,29.2,23.7,26.45
-48.50444,2008-01-11,29.9,24.2,27.049999999999997
-48.50444,2008-01-12,30.8,24.9,27.85
-48.50444,2008-01-13,28.9,24.9,26.9
-48.50444,2008-01-14,28.7,23.7,26.2
-48.50444,2008-01-15,26.1,23.9,25.0
-48.50444,2008-01-16,29.4,23.9,26.65
-48.50444,2008-01-17,27.7,23.7,25.7
-48.50444,2008-01-18,25.1,23.0,24.05
-48.50444,2008-01-19,27.6,23.2,25.4
-48.50444,2008-01-20,27.4,23.6,25.5
-48.50444,2008-01-21,27.6,23.8,25.700000000000003
-48.50444,2008-01-22,28.8,23.3,26.05
-48.50444,2008-01-23,28.5,23.6,26.05
-48.50444,2008-01-24,28.2,23.9,26.049999999999997
-48.50444,2008-01-25,28.7,24.4,26.549999999999997
-48.50444,2008-01-26,28.0,24.3,26.15
-48.50444,2008-01-27,26.1,23.7,24.9
-48.50444,2008-01-28,26.2,23.6,24.9
-48.50444,2008-01-29,28.0,23.7,25.85
-48.50444,2008-01-30,28.1,24.0,26.05
-48.50444,2008-01-31,27.7,23.7,25.7
-48.50444,2008-02-01,25.9,23.7,24.799999999999997
-48.50444,2008-02-02,27.3,23.7,25.5
-48.50444,2008-02-03,29.0,23.6,26.3
-48.50444,2008-02-04,29.9,24.0,26.95
-48.50444,2008-02-05,28.5,24.1,26.3
-48.50444,2008-02-06,29.5,24.0,26.75
-48.50444,2008-02-07,29.5,24.2,26.85
-48.50444,2008-02-08,30.0,24.1,27.05
-48.50444,2008-02-09,30.4,24.6,27.5
-48.50444,2008-02-10,30.1,24.3,27.200000000000003
-48.50444,2008-02-11,29.2,24.5,26.85
-48.50444,2008-02-12,28.3,24.1,26.200000000000003
-48.50444,2008-02-13,29.5,23.6,26.55
-48.50444,2008-02-14,29.5,24.3,26.9
-48.50444,2008-02-15,26.7,24.0,25.35
-48.50444,2008-02-16,27.3,23.6,25.450000000000003
-48.50444,2008-02-17,28.3,23.4,25.85
-48.50444,2008-02-18,28.9,23.5,26.2
-48.50444,2008-02-19,29.8,24.2,27.0
-48.50444,2008-02-20,27.6,24.0,25.8
-48.50444,2008-02-21,26.1,23.4,24.75
-48.50444,2008-02-22,27.2,23.3,25.25
-48.50444,2008-02-23,28.7,23.7,26.2
-48.50444,2008-02-24,29.1,23.8,26.450000000000003
-48.50444,2008-02-25,29.9,24.3,27.1
-48.50444,2008-02-26,29.8,24.0,26.9
-48.50444,2008-02-27,29.6,23.6,26.6
-48.50444,2008-02-28,27.8,24.1,25.950000000000003
-48.50444,2008-02-29,26.8,23.4,25.1
-48.50444,2008-03-01,27.3,23.4,25.35
-48.50444,2008-03-02,24.6,23.6,24.1
-48.50444,2008-03-03,28.5,23.5,26.0
-48.50444,2008-03-04,29.5,24.0,26.75
-48.50444,2008-03-05,28.1,23.6,25.85
-48.50444,2008-03-06,28.7,24.1,26.4
-48.50444,2008-03-07,28.5,23.3,25.9
-48.50444,2008-03-08,28.4,23.4,25.9
-48.50444,2008-03-09,27.9,23.5,25.7
-48.50444,2008-03-10,29.5,23.3,26.4
-48.50444,2008-03-11,26.9,24.2,25.549999999999997
-48.50444,2008-03-12,27.5,23.4,25.45
-48.50444,2008-03-13,28.4,23.5,25.95
-48.50444,2008-03-14,27.9,23.5,25.7
-48.50444,2008-03-15,28.7,23.9,26.299999999999997
-48.50444,2008-03-16,28.2,24.3,26.25
-48.50444,2008-03-17,28.1,23.7,25.9
-48.50444,2008-03-18,27.2,23.1,25.15
-48.50444,2008-03-19,28.9,23.1,26.0
-48.50444,2008-03-20,27.4,23.6,25.5
-48.50444,2008-03-21,28.5,23.6,26.05
-48.50444,2008-03-22,28.1,23.2,25.65
-48.50444,2008-03-23,26.0,23.3,24.65
-48.50444,2008-03-24,28.3,23.8,26.05
-48.50444,2008-03-25,24.4,23.4,23.9
-48.50444,2008-03-26,25.9,23.5,24.7
-48.50444,2008-03-27,26.7,23.6,25.15
-48.50444,2008-03-28,25.8,23.8,24.8
-48.50444,2008-03-29,27.9,23.5,25.7
-48.50444,2008-03-30,27.8,23.7,25.75
-48.50444,2008-03-31,26.0,23.9,24.95
-48.50444,2008-04-01,27.0,23.8,25.4
-48.50444,2008-04-02,27.6,23.7,25.65
-48.50444,2008-04-03,27.1,23.4,25.25
-48.50444,2008-04-04,27.5,23.5,25.5
-48.50444,2008-04-05,26.8,23.8,25.3
-48.50444,2008-04-06,24.8,23.7,24.25
-48.50444,2008-04-07,28.7,23.1,25.9
-48.50444,2008-04-08,29.1,24.1,26.6
-48.50444,2008-04-09,29.1,23.4,26.25
-48.50444,2008-04-10,29.9,23.8,26.85
-48.50444,2008-04-11,27.9,23.9,25.9
-48.50444,2008-04-12,27.7,23.9,25.799999999999997
-48.50444,2008-04-13,28.6,23.7,26.15
-48.50444,2008-04-14,28.5,23.3,25.9
-48.50444,2008-04-15,28.0,23.7,25.85
-48.50444,2008-04-16,28.0,23.6,25.8
-48.50444,2008-04-17,29.0,23.6,26.3
-48.50444,2008-04-18,27.9,23.8,25.85
-48.50444,2008-04-19,28.4,23.9,26.15
-48.50444,2008-04-20,27.1,24.1,25.6
-48.50444,2008-04-21,28.6,24.2,26.4
-48.50444,2008-04-22,27.0,23.6,25.3
-48.50444,2008-04-23,28.7,24.2,26.45
-48.50444,2008-04-24,28.2,23.9,26.049999999999997
-48.50444,2008-04-25,27.3,23.8,25.55
-48.50444,2008-04-26,28.5,23.9,26.2
-48.50444,2008-04-27,28.1,24.1,26.1
-48.50444,2008-04-28,28.1,24.1,26.1
-48.50444,2008-04-29,27.5,24.1,25.8
-48.50444,2008-04-30,26.2,24.2,25.2
-48.50444,2008-05-01,28.7,24.1,26.4
-48.50444,2008-05-02,27.7,23.6,25.65
-48.50444,2008-05-03,28.4,24.0,26.2
-48.50444,2008-05-04,27.7,24.0,25.85
-48.50444,2008-05-05,26.4,23.9,25.15
-48.50444,2008-05-06,28.6,23.9,26.25
-48.50444,2008-05-07,27.1,24.4,25.75
-48.50444,2008-05-08,28.2,23.5,25.85
-48.50444,2008-05-09,27.9,23.9,25.9
-48.50444,2008-05-10,26.8,23.6,25.200000000000003
-48.50444,2008-05-11,28.8,23.4,26.1
-48.50444,2008-05-12,27.5,23.4,25.45
-48.50444,2008-05-13,28.7,23.9,26.299999999999997
-48.50444,2008-05-14,28.7,23.5,26.1
-48.50444,2008-05-15,28.4,24.1,26.25
-48.50444,2008-05-16,29.7,24.2,26.95
-48.50444,2008-05-17,29.2,24.4,26.799999999999997
-48.50444,2008-05-18,29.1,24.3,26.700000000000003
-48.50444,2008-05-19,29.7,24.1,26.9
-48.50444,2008-05-20,29.9,24.4,27.15
-48.50444,2008-05-21,27.7,24.7,26.2
-48.50444,2008-05-22,28.5,24.0,26.25
-48.50444,2008-05-23,27.8,23.7,25.75
-48.50444,2008-05-24,28.3,23.9,26.1
-48.50444,2008-05-25,28.0,23.3,25.65
-48.50444,2008-05-26,27.4,23.4,25.4
-48.50444,2008-05-27,29.4,23.6,26.5
-48.50444,2008-05-28,29.1,23.8,26.450000000000003
-48.50444,2008-05-29,28.4,24.2,26.299999999999997
-48.50444,2008-05-30,29.2,23.3,26.25
-48.50444,2008-05-31,29.2,23.8,26.5
-48.50444,2008-06-01,27.2,23.5,25.35
-48.50444,2008-06-02,26.1,23.4,24.75
-48.50444,2008-06-03,28.1,23.3,25.700000000000003
-48.50444,2008-06-04,28.9,23.4,26.15
-48.50444,2008-06-05,29.3,24.3,26.8
-48.50444,2008-06-06,28.7,23.8,26.25
-48.50444,2008-06-07,28.5,24.1,26.3
-48.50444,2008-06-08,29.2,24.0,26.6
-48.50444,2008-06-09,28.9,24.1,26.5
-48.50444,2008-06-10,25.9,24.3,25.1
-48.50444,2008-06-11,29.0,23.7,26.35
-48.50444,2008-06-12,28.7,24.2,26.45
-48.50444,2008-06-13,27.5,23.0,25.25
-48.50444,2008-06-14,28.4,22.7,25.549999999999997
-48.50444,2008-06-15,28.9,23.7,26.299999999999997
-48.50444,2008-06-16,29.9,24.4,27.15
-48.50444,2008-06-17,29.2,24.6,26.9
-48.50444,2008-06-18,27.9,24.1,26.0
-48.50444,2008-06-19,28.9,24.0,26.45
-48.50444,2008-06-20,29.1,23.6,26.35
-48.50444,2008-06-21,28.7,24.5,26.6
-48.50444,2008-06-22,30.2,24.6,27.4
-48.50444,2008-06-23,29.9,23.7,26.799999999999997
-48.50444,2008-06-24,29.7,24.2,26.95
-48.50444,2008-06-25,28.6,23.7,26.15
-48.50444,2008-06-26,29.3,23.6,26.450000000000003
-48.50444,2008-06-27,29.5,24.1,26.8
-48.50444,2008-06-28,29.9,24.5,27.2
-48.50444,2008-06-29,29.4,24.0,26.7
