date,temp_max,temp_min,month,temp
2024-01-01,28.3,23.6,1,25.950000000000003
2024-01-02,29.9,24.0,1,26.95
2024-01-03,29.3,23.8,1,26.55
2024-01-04,31.4,23.8,1,27.6
2024-01-05,31.2,23.7,1,27.45
2024-01-06,31.6,23.6,1,27.6
2024-01-07,28.0,24.2,1,26.1
2024-01-08,31.3,23.4,1,27.35
2024-01-09,32.6,23.6,1,28.1
2024-01-10,30.4,22.9,1,26.65
2024-01-11,31.2,23.3,1,27.25
2024-01-12,26.9,23.3,1,25.1
2024-01-13,27.6,23.5,1,25.55
2024-01-14,31.3,22.4,1,26.85
2024-01-15,31.3,23.1,1,27.200000000000003
2024-01-16,31.7,22.9,1,27.299999999999997
2024-01-17,31.8,23.1,1,27.450000000000003
2024-01-18,31.9,23.2,1,27.549999999999997
2024-01-19,30.9,23.1,1,27.0
2024-01-20,31.4,24.1,1,27.75
2024-01-21,31.5,23.4,1,27.45
2024-01-22,31.5,23.6,1,27.55
2024-01-23,31.0,23.8,1,27.4
2024-01-24,30.6,24.4,1,27.5
2024-01-25,30.9,23.9,1,27.4
2024-01-26,30.7,24.4,1,27.549999999999997
2024-01-27,29.1,23.7,1,26.4
2024-01-28,30.8,24.3,1,27.55
2024-01-29,30.3,24.2,1,27.25
2024-01-30,30.1,24.2,1,27.15
2024-01-31,31.6,24.4,1,28.0
2024-02-01,29.6,24.6,2,27.1
2024-02-02,29.0,23.3,2,26.15
2024-02-03,32.2,23.3,2,27.75
2024-02-04,30.5,23.3,2,26.9
2024-02-05,32.0,23.4,2,27.7
2024-02-06,32.1,23.0,2,27.55
2024-02-07,31.7,23.3,2,27.5
2024-02-08,31.5,24.1,2,27.8
2024-02-09,31.3,23.8,2,27.55
2024-02-10,29.7,24.1,2,26.9
2024-02-11,31.0,24.6,2,27.8
2024-02-12,30.9,24.0,2,27.45
2024-02-13,26.8,23.4,2,25.1
2024-02-14,30.2,23.5,2,26.85
