lon,date,temp_max,temp_min,temp
-60.67333,2002-01-01,32.3,24.4,28.349999999999998
-60.67333,2002-01-02,33.4,22.9,28.15
-60.67333,2002-01-03,34.4,22.4,28.4
-60.67333,2002-01-04,34.6,21.9,28.25
-60.67333,2002-01-05,34.9,23.8,29.35
-60.67333,2002-01-06,34.5,23.6,29.05
-60.67333,2002-01-07,34.9,24.8,29.85
-60.67333,2002-01-08,35.0,24.6,29.8
-60.67333,2002-01-09,33.8,24.5,29.15
-60.67333,2002-01-10,33.4,24.7,29.049999999999997
-60.67333,2002-01-11,33.4,24.7,29.049999999999997
-60.67333,2002-01-12,33.6,25.1,29.35
-60.67333,2002-01-13,33.4,26.1,29.75
-60.67333,2002-01-14,33.3,24.9,29.099999999999998
-60.67333,2002-01-15,34.3,24.6,29.45
-60.67333,2002-01-16,35.0,23.1,29.05
-60.67333,2002-01-17,33.4,25.2,29.299999999999997
-60.67333,2002-01-18,32.8,25.3,29.049999999999997
-60.67333,2002-01-19,33.4,25.4,29.4
-60.67333,2002-01-20,32.6,25.6,29.1
-60.67333,2002-01-21,31.5,24.7,28.1
-60.67333,2002-01-22,32.2,24.7,28.450000000000003
-60.67333,2002-01-23,30.4,24.3,27.35
-60.67333,2002-01-24,31.8,23.7,27.75
-60.67333,2002-01-25,31.4,24.5,27.95
-60.67333,2002-01-26,32.6,24.6,28.6
-60.67333,2002-01-27,31.2,23.4,27.299999999999997
-60.67333,2002-01-28,31.9,24.4,28.15
-60.67333,2002-01-29,33.8,24.5,29.15
-60.67333,2002-01-30,33.8,24.8,29.299999999999997
-60.67333,2002-01-31,30.7,25.0,27.85
-60.67333,2002-02-01,31.2,25.2,28.2
-60.67333,2002-02-02,32.0,24.7,28.35
-60.67333,2002-02-03,33.4,24.9,29.15
-60.67333,2002-02-04,33.1,24.7,28.9
-60.67333,2002-02-05,33.8,25.0,29.4
-60.67333,2002-02-06,31.9,24.6,28.25
-60.67333,2002-02-07,33.0,24.4,28.7
-60.67333,2002-02-08,34.8,25.1,29.95
-60.67333,2002-02-09,34.3,24.6,29.45
-60.67333,2002-02-10,33.6,23.9,28.75
-60.67333,2002-02-11,32.5,24.1,28.3
-60.67333,2002-02-12,34.7,24.4,29.55
-60.67333,2002-02-13,33.5,25.2,29.35
-60.67333,2002-02-14,34.0,24.7,29.35
-60.67333,2002-02-15,34.5,24.7,29.6
-60.67333,2002-02-16,32.0,25.7,28.85
-60.67333,2002-02-17,33.4,24.8,29.1
-60.67333,2002-02-18,34.2,25.5,29.85
-60.67333,2002-02-19,34.1,25.5,29.8
-60.67333,2002-02-20,34.7,25.2,29.950000000000003
-60.67333,2002-02-21,33.4,25.6,29.5
-60.67333,2002-02-22,30.2,25.3,27.75
-60.67333,2002-02-23,31.5,25.2,28.35
-60.67333,2002-02-24,34.1,24.9,29.5
-60.67333,2002-02-25,33.7,25.3,29.5
-60.67333,2002-02-26,32.9,25.3,29.1
-60.67333,2002-02-27,34.2,25.1,29.650000000000002
-60.67333,2002-02-28,34.5,25.3,29.9
-60.67333,2002-03-01,33.1,25.3,29.200000000000003
-60.67333,2002-03-02,34.8,25.6,30.2
-60.67333,2002-03-03,33.0,25.2,29.1
-60.67333,2002-03-04,35.1,25.4,30.25
-60.67333,2002-03-05,33.7,25.7,29.700000000000003
-60.67333,2002-03-06,33.9,25.9,29.9
-60.67333,2002-03-07,35.2,25.5,30.35
-60.67333,2002-03-08,36.0,25.3,30.65
-60.67333,2002-03-09,33.0,25.6,29.3
-60.67333,2002-03-10,32.5,24.3,28.4
-60.67333,2002-03-11,34.6,24.8,29.700000000000003
-60.67333,2002-03-12,33.8,26.2,30.0
-60.67333,2002-03-13,33.5,24.3,28.9
-60.67333,2002-03-14,34.2,24.8,29.5
-60.67333,2002-03-15,29.9,23.4,26.65
-60.67333,2002-03-16,29.9,23.9,26.9
-60.67333,2002-03-17,32.3,24.3,28.299999999999997
-60.67333,2002-03-18,32.7,24.8,28.75
-60.67333,2002-03-19,32.4,24.7,28.549999999999997
-60.67333,2002-03-20,30.8,24.8,27.8
-60.67333,2002-03-21,31.7,24.0,27.85
-60.67333,2002-03-22,29.6,23.5,26.55
-60.67333,2002-03-23,32.8,23.3,28.049999999999997
-60.67333,2002-03-24,32.9,24.8,28.85
-60.67333,2002-03-25,33.1,24.1,28.6
-60.67333,2002-03-26,34.0,24.3,29.15
-60.67333,2002-03-27,35.2,23.1,29.150000000000002
-60.67333,2002-03-28,34.2,25.2,29.700000000000003
-60.67333,2002-03-29,33.3,25.1,29.2
-60.67333,2002-03-30,29.7,24.0,26.85
-60.67333,2002-03-31,29.4,23.8,26.6
-60.67333,2002-04-01,31.6,23.4,27.5
-60.67333,2002-04-02,32.2,25.0,28.6
-60.67333,2002-04-03,29.9,24.6,27.25
-60.67333,2002-04-04,27.6,23.8,25.700000000000003
-60.67333,2002-04-05,27.3,23.6,25.450000000000003
-60.67333,2002-04-06,29.0,22.9,25.95
-60.67333,2002-04-07,31.2,22.9,27.049999999999997
-60.67333,2002-04-08,31.2,23.5,27.35
-60.67333,2002-04-09,31.3,24.1,27.700000000000003
-60.67333,2002-04-10,28.6,23.4,26.0
-60.67333,2002-04-11,30.0,23.0,26.5
-60.67333,2002-04-12,30.0,23.2,26.6
-60.67333,2002-04-13,29.3,22.8,26.05
