lon,date,temp_max,temp_min,temp
-48.54917,2014-01-01,27.8,25.2,26.5
-48.54917,2014-01-02,31.0,24.7,27.85
-48.54917,2014-01-03,30.1,22.0,26.05
-48.54917,2014-01-04,21.4,19.1,20.25
-48.54917,2014-01-05,25.1,18.9,22.0
-48.54917,2014-01-06,26.3,21.2,23.75
-48.54917,2014-01-07,27.9,23.4,25.65
-48.54917,2014-01-08,30.5,24.0,27.25
-48.54917,2014-01-09,26.6,22.8,24.700000000000003
-48.54917,2014-01-10,30.9,23.6,27.25
-48.54917,2014-01-11,30.4,23.7,27.049999999999997
-48.54917,2014-01-12,27.0,23.3,25.15
-48.54917,2014-01-13,26.9,22.6,24.75
-48.54917,2014-01-14,29.4,22.8,26.1
-48.54917,2014-01-15,28.9,23.4,26.15
-48.54917,2014-01-16,26.6,21.8,24.200000000000003
-48.54917,2014-01-17,27.9,20.8,24.35
-48.54917,2014-01-18,28.9,21.4,25.15
-48.54917,2014-01-19,29.9,22.5,26.2
-48.54917,2014-01-20,29.6,22.7,26.15
-48.54917,2014-01-21,29.9,22.7,26.299999999999997
-48.54917,2014-01-22,32.8,24.7,28.75
-48.54917,2014-01-23,32.4,25.1,28.75
-48.54917,2014-01-24,33.4,26.0,29.7
-48.54917,2014-01-25,27.0,23.1,25.05
-48.54917,2014-01-26,26.2,22.9,24.549999999999997
-48.54917,2014-01-27,30.3,23.8,27.05
-48.54917,2014-01-28,31.1,23.9,27.5
-48.54917,2014-01-29,32.8,24.3,28.549999999999997
-48.54917,2014-01-30,31.6,24.0,27.8
-48.54917,2014-01-31,32.0,25.3,28.65
-48.54917,2014-02-01,32.5,25.3,28.9
-48.54917,2014-02-02,32.0,24.5,28.25
-48.54917,2014-02-03,32.1,25.0,28.55
-48.54917,2014-02-04,32.7,25.9,29.3
-48.54917,2014-02-05,32.2,25.6,28.900000000000002
-48.54917,2014-02-06,33.0,25.4,29.2
-48.54917,2014-02-07,33.2,24.9,29.05
-48.54917,2014-02-08,33.3,25.9,29.599999999999998
