date,temp_max,temp_min,temp
2016-01-01,28.4,25.1,26.75
2016-01-02,28.9,24.7,26.799999999999997
2016-01-03,29.6,25.3,27.450000000000003
2016-01-04,29.3,25.1,27.200000000000003
2016-01-05,28.4,25.1,26.75
2016-01-06,28.8,25.1,26.950000000000003
2016-01-07,28.6,24.3,26.450000000000003
2016-01-08,28.3,24.1,26.200000000000003
2016-01-09,28.3,24.5,26.4
2016-01-10,27.3,24.5,25.9
2016-01-11,29.5,24.5,27.0
2016-01-12,29.2,24.8,27.0
2016-01-13,29.4,25.9,27.65
2016-01-14,28.4,25.0,26.7
2016-01-15,29.1,24.8,26.950000000000003
2016-01-16,28.6,24.8,26.700000000000003
2016-01-17,29.1,25.1,27.1
2016-01-18,29.2,24.5,26.85
2016-01-19,26.8,24.4,25.6
2016-01-20,28.3,24.1,26.200000000000003
2016-01-21,26.4,24.3,25.35
2016-01-22,27.5,23.5,25.5
2016-01-23,27.4,23.8,25.6
2016-01-24,28.6,24.1,26.35
2016-01-25,28.6,24.6,26.6
2016-01-26,28.2,24.7,26.45
2016-01-27,29.2,24.7,26.95
2016-01-28,28.4,24.9,26.65
2016-01-29,29.0,25.9,27.45
2016-01-30,28.1,24.4,26.25
2016-01-31,28.3,23.9,26.1
2016-02-01,26.4,23.7,25.049999999999997
2016-02-02,27.9,24.1,26.0
2016-02-03,28.4,24.0,26.2
2016-02-04,28.9,24.8,26.85
2016-02-05,29.9,24.9,27.4
2016-02-06,29.9,26.0,27.95
2016-02-07,29.6,25.2,27.4
2016-02-08,27.8,25.0,26.4
2016-02-09,28.2,24.7,26.45
2016-02-10,28.6,24.9,26.75
2016-02-11,29.9,25.7,27.799999999999997
2016-02-12,29.7,25.1,27.4
2016-02-13,28.8,24.3,26.55
2016-02-14,27.9,24.6,26.25
2016-02-15,29.6,24.6,27.1
2016-02-16,30.1,26.1,28.1
2016-02-17,29.6,25.7,27.65
2016-02-18,28.0,24.4,26.2
2016-02-19,28.7,24.0,26.35
2016-02-20,27.4,24.2,25.799999999999997
2016-02-21,29.5,25.0,27.25
2016-02-22,28.4,24.6,26.5
2016-02-23,27.7,24.6,26.15
2016-02-24,28.4,24.8,26.6
2016-02-25,29.8,25.1,27.450000000000003
2016-02-26,28.4,25.3,26.85
2016-02-27,28.4,25.2,26.799999999999997
2016-02-28,29.9,25.7,27.799999999999997
2016-02-29,29.3,26.5,27.9
2016-03-01,30.3,26.1,28.200000000000003
2016-03-02,30.4,26.0,28.2
2016-03-03,27.3,25.6,26.450000000000003
2016-03-04,29.2,25.2,27.2
2016-03-05,29.4,25.6,27.5
2016-03-06,29.7,25.8,27.75
2016-03-07,30.2,26.6,28.4
2016-03-08,29.1,26.4,27.75
2016-03-09,30.1,25.3,27.700000000000003
2016-03-10,30.1,25.1,27.6
2016-03-11,29.1,25.3,27.200000000000003
2016-03-12,29.4,25.2,27.299999999999997
2016-03-13,29.9,25.6,27.75
2016-03-14,29.3,24.9,27.1
2016-03-15,29.9,25.5,27.7
2016-03-16,30.1,25.2,27.65
2016-03-17,28.2,25.3,26.75
2016-03-18,28.9,24.5,26.7
2016-03-19,30.2,26.0,28.1
2016-03-20,29.9,26.4,28.15
2016-03-21,29.4,26.0,27.7
2016-03-22,30.0,25.4,27.7
2016-03-23,29.2,26.3,27.75
2016-03-24,29.8,26.0,27.9
2016-03-25,29.2,26.0,27.6
2016-03-26,29.2,25.9,27.549999999999997
2016-03-27,30.1,25.5,27.8
2016-03-28,30.8,26.9,28.85
2016-03-29,28.5,25.2,26.85
2016-03-30,28.2,24.7,26.45
2016-03-31,29.3,24.9,27.1
2016-04-01,28.5,25.2,26.85
2016-04-02,26.2,24.4,25.299999999999997
2016-04-03,26.2,24.3,25.25
2016-04-04,29.1,23.9,26.5
2016-04-05,28.9,25.4,27.15
2016-04-06,29.0,24.8,26.9
2016-04-07,30.2,24.4,27.299999999999997
2016-04-08,28.6,25.2,26.9
2016-04-09,29.4,25.3,27.35
2016-04-10,30.0,25.9,27.95
2016-04-11,28.0,25.2,26.6
2016-04-12,29.9,25.7,27.799999999999997
2016-04-13,29.1,25.6,27.35
2016-04-14,29.1,24.9,27.0
2016-04-15,29.6,24.9,27.25
2016-04-16,28.3,24.5,26.4
2016-04-17,29.4,25.0,27.2
2016-04-18,28.5,25.0,26.75
2016-04-19,29.7,25.2,27.45
2016-04-20,29.7,25.9,27.799999999999997
2016-04-21,29.0,25.8,27.4
2016-04-22,27.2,25.3,26.25
2016-04-23,30.1,25.0,27.55
2016-04-24,29.9,25.7,27.799999999999997
2016-04-25,29.6,25.8,27.700000000000003
2016-04-26,29.8,26.2,28.0
2016-04-27,30.1,26.1,28.1
2016-04-28,29.4,26.0,27.7
2016-04-29,29.2,25.3,27.25
2016-04-30,30.1,25.6,27.85
2016-05-01,29.1,25.5,27.3
2016-05-02,29.0,25.0,27.0
2016-05-03,30.2,24.4,27.299999999999997
2016-05-04,30.1,25.5,27.8
2016-05-05,29.9,25.5,27.7
2016-05-06,28.9,25.0,26.95
2016-05-07,30.6,24.7,27.65
2016-05-08,30.6,26.0,28.3
2016-05-09,29.7,25.8,27.75
2016-05-10,30.1,25.0,27.55
2016-05-11,28.7,24.8,26.75
2016-05-12,29.5,24.8,27.15
2016-05-13,28.9,25.0,26.95
2016-05-14,29.7,25.4,27.549999999999997
2016-05-15,30.1,25.6,27.85
2016-05-16,30.1,25.6,27.85
2016-05-17,29.9,25.4,27.65
2016-05-18,28.9,25.3,27.1
2016-05-19,30.0,26.0,28.0
2016-05-20,30.6,24.8,27.700000000000003
2016-05-21,30.4,25.3,27.85
2016-05-22,30.4,25.8,28.1
2016-05-23,29.2,25.8,27.5
2016-05-24,29.8,25.6,27.700000000000003
2016-05-25,29.5,25.2,27.35
2016-05-26,30.8,25.9,28.35
2016-05-27,31.0,25.3,28.15
2016-05-28,30.4,25.6,28.0
2016-05-29,31.2,25.9,28.549999999999997
2016-05-30,28.7,24.8,26.75
2016-05-31,28.9,25.3,27.1
2016-06-01,30.7,25.8,28.25
2016-06-02,30.3,26.0,28.15
2016-06-03,29.1,24.6,26.85
2016-06-04,30.0,24.9,27.45
2016-06-05,29.9,24.6,27.25
2016-06-06,28.5,24.9,26.7
2016-06-07,29.2,24.3,26.75
2016-06-08,29.7,25.8,27.75
2016-06-09,28.9,24.8,26.85
2016-06-10,29.6,25.1,27.35
2016-06-11,28.6,24.3,26.450000000000003
2016-06-12,28.6,24.6,26.6
