date,temp_max,temp_min,month,temp
2012-01-01,29.8,24.6,1,27.200000000000003
2012-01-02,30.0,24.5,1,27.25
2012-01-03,30.1,24.2,1,27.15
2012-01-04,29.9,24.9,1,27.4
2012-01-05,29.4,24.3,1,26.85
2012-01-06,28.4,23.2,1,25.799999999999997
2012-01-07,28.7,24.6,1,26.65
2012-01-08,29.0,24.4,1,26.7
2012-01-09,30.1,24.7,1,27.4
2012-01-10,29.1,24.7,1,26.9
2012-01-11,28.5,24.1,1,26.3
2012-01-12,28.7,24.5,1,26.6
2012-01-13,28.7,24.6,1,26.65
2012-01-14,28.8,24.1,1,26.450000000000003
2012-01-15,28.5,24.9,1,26.7
2012-01-16,27.9,23.2,1,25.549999999999997
2012-01-17,27.9,22.6,1,25.25
2012-01-18,28.0,23.5,1,25.75
2012-01-19,27.5,24.2,1,25.85
2012-01-20,27.4,22.9,1,25.15
2012-01-21,25.4,22.7,1,24.049999999999997
2012-01-22,26.0,22.6,1,24.3
2012-01-23,26.8,23.1,1,24.950000000000003
2012-01-24,27.0,23.4,1,25.2
2012-01-25,27.5,23.1,1,25.3
2012-01-26,28.2,23.4,1,25.799999999999997
2012-01-27,28.2,24.5,1,26.35
2012-01-28,28.5,23.4,1,25.95
2012-01-29,28.1,22.9,1,25.5
2012-01-30,28.6,23.4,1,26.0
2012-01-31,28.5,23.8,1,26.15
2012-02-01,28.6,24.6,2,26.6
2012-02-02,29.0,24.1,2,26.55
2012-02-03,28.8,24.3,2,26.55
2012-02-04,28.9,24.7,2,26.799999999999997
2012-02-05,29.1,24.3,2,26.700000000000003
2012-02-06,28.8,24.7,2,26.75
2012-02-07,28.2,23.7,2,25.95
2012-02-08,28.6,23.6,2,26.1
2012-02-09,29.3,23.6,2,26.450000000000003
2012-02-10,28.9,25.0,2,26.95
2012-02-11,28.9,24.5,2,26.7
2012-02-12,29.4,23.9,2,26.65
2012-02-13,29.5,23.5,2,26.5
2012-02-14,28.3,24.6,2,26.450000000000003
2012-02-15,28.4,23.8,2,26.1
2012-02-16,28.1,23.4,2,25.75
2012-02-17,27.8,24.5,2,26.15
2012-02-18,26.2,23.7,2,24.95
2012-02-19,28.1,24.0,2,26.05
2012-02-20,28.0,23.7,2,25.85
2012-02-21,28.2,24.3,2,26.25
2012-02-22,28.7,24.1,2,26.4
2012-02-23,28.9,24.2,2,26.549999999999997
2012-02-24,28.4,23.4,2,25.9
2012-02-25,28.7,23.8,2,26.25
2012-02-26,29.9,24.3,2,27.1
2012-02-27,29.6,24.6,2,27.1
2012-02-28,29.2,25.0,2,27.1
2012-02-29,28.7,25.1,2,26.9
2012-03-01,29.6,25.1,3,27.35
2012-03-02,29.8,24.2,3,27.0
2012-03-03,29.0,24.7,3,26.85
2012-03-04,29.4,24.5,3,26.95
2012-03-05,28.7,24.5,3,26.6
2012-03-06,27.5,23.9,3,25.7
2012-03-07,28.2,23.8,3,26.0
2012-03-08,28.9,24.0,3,26.45
2012-03-09,29.0,24.1,3,26.55
2012-03-10,28.7,24.4,3,26.549999999999997
2012-03-11,28.5,24.3,3,26.4
2012-03-12,28.5,24.2,3,26.35
2012-03-13,28.9,24.8,3,26.85
2012-03-14,29.5,24.8,3,27.15
2012-03-15,29.3,24.7,3,27.0
2012-03-16,29.7,25.2,3,27.45
2012-03-17,29.9,24.6,3,27.25
2012-03-18,29.4,25.3,3,27.35
2012-03-19,29.4,25.0,3,27.2
2012-03-20,29.3,24.5,3,26.9
2012-03-21,29.5,24.5,3,27.0
2012-03-22,29.8,25.1,3,27.450000000000003
2012-03-23,29.4,24.4,3,26.9
2012-03-24,29.5,24.8,3,27.15
2012-03-25,29.3,25.4,3,27.35
2012-03-26,29.1,24.8,3,26.950000000000003
2012-03-27,28.9,23.7,3,26.299999999999997
2012-03-28,29.6,24.5,3,27.05
2012-03-29,30.0,24.9,3,27.45
2012-03-30,29.5,25.3,3,27.4
2012-03-31,29.5,24.2,3,26.85
2012-04-01,29.1,23.4,4,26.25
2012-04-02,29.3,24.6,4,26.950000000000003
2012-04-03,28.2,24.5,4,26.35
2012-04-04,27.9,24.2,4,26.049999999999997
2012-04-05,28.9,24.9,4,26.9
2012-04-06,29.6,24.3,4,26.950000000000003
2012-04-07,28.8,24.6,4,26.700000000000003
2012-04-08,29.2,25.0,4,27.1
2012-04-09,28.5,24.1,4,26.3
2012-04-10,28.9,25.2,4,27.049999999999997
2012-04-11,29.8,24.4,4,27.1
2012-04-12,28.2,24.1,4,26.15
2012-04-13,29.4,23.7,4,26.549999999999997
2012-04-14,29.2,24.6,4,26.9
2012-04-15,29.2,24.9,4,27.049999999999997
2012-04-16,30.0,24.6,4,27.3
2012-04-17,29.4,24.8,4,27.1
2012-04-18,29.6,24.5,4,27.05
2012-04-19,27.0,24.5,4,25.75
2012-04-20,28.7,24.3,4,26.5
2012-04-21,29.6,24.2,4,26.9
2012-04-22,29.6,24.7,4,27.15
2012-04-23,29.0,25.6,4,27.3
2012-04-24,29.4,24.4,4,26.9
2012-04-25,29.9,25.0,4,27.45
2012-04-26,29.3,25.0,4,27.15
2012-04-27,28.9,23.6,4,26.25
2012-04-28,30.2,21.7,4,25.95
2012-04-29,29.8,24.2,4,27.0
2012-04-30,30.2,23.8,4,27.0
2012-05-01,30.2,24.5,5,27.35
2012-05-02,28.8,24.4,5,26.6
2012-05-03,29.2,24.9,5,27.049999999999997
2012-05-04,28.9,23.9,5,26.4
2012-05-05,29.0,24.5,5,26.75
2012-05-06,28.1,24.3,5,26.200000000000003
2012-05-07,27.7,24.4,5,26.049999999999997
2012-05-08,28.3,24.6,5,26.450000000000003
2012-05-09,27.9,22.8,5,25.35
2012-05-10,28.8,23.0,5,25.9
2012-05-11,28.5,23.0,5,25.75
2012-05-12,28.7,22.7,5,25.7
2012-05-13,29.7,22.7,5,26.2
2012-05-14,29.4,24.4,5,26.9
2012-05-15,28.3,23.9,5,26.1
2012-05-16,29.1,23.6,5,26.35
2012-05-17,28.9,23.4,5,26.15
2012-05-18,28.7,23.7,5,26.2
2012-05-19,28.7,22.3,5,25.5
2012-05-20,29.3,24.0,5,26.65
2012-05-21,28.9,23.1,5,26.0
2012-05-22,26.5,23.0,5,24.75
2012-05-23,27.9,24.3,5,26.1
2012-05-24,26.5,23.4,5,24.95
2012-05-25,27.5,23.4,5,25.45
2012-05-26,28.3,23.7,5,26.0
2012-05-27,28.1,22.8,5,25.450000000000003
2012-05-28,28.3,23.9,5,26.1
2012-05-29,27.8,24.3,5,26.05
2012-05-30,27.0,23.4,5,25.2
2012-05-31,28.2,22.3,5,25.25
2012-06-01,28.1,23.3,6,25.700000000000003
2012-06-02,28.3,23.3,6,25.8
2012-06-03,26.7,23.0,6,24.85
2012-06-04,27.4,22.9,6,25.15
2012-06-05,27.8,23.4,6,25.6
2012-06-06,26.9,23.0,6,24.95
2012-06-07,27.8,22.4,6,25.1
2012-06-08,27.1,22.9,6,25.0
2012-06-09,27.1,22.8,6,24.950000000000003
2012-06-10,27.6,23.2,6,25.4
2012-06-11,24.9,22.8,6,23.85
2012-06-12,26.8,22.7,6,24.75
2012-06-13,26.2,23.2,6,24.7
2012-06-14,26.9,22.8,6,24.85
2012-06-15,26.6,22.3,6,24.450000000000003
2012-06-16,26.9,22.7,6,24.799999999999997
2012-06-17,27.1,22.7,6,24.9
2012-06-18,26.3,22.9,6,24.6
2012-06-19,26.1,24.0,6,25.05
2012-06-20,28.2,22.9,6,25.549999999999997
2012-06-21,26.8,22.3,6,24.55
2012-06-22,26.2,23.1,6,24.65
2012-06-23,27.5,23.1,6,25.3
2012-06-24,25.6,22.9,6,24.25
2012-06-25,26.0,22.4,6,24.2
2012-06-26,25.5,22.1,6,23.8
2012-06-27,25.3,21.5,6,23.4
2012-06-28,26.6,23.5,6,25.05
2012-06-29,27.0,22.8,6,24.9
2012-06-30,25.9,22.2,6,24.049999999999997
2012-07-01,26.8,22.2,7,24.5
2012-07-02,26.1,22.6,7,24.35
2012-07-03,26.2,21.8,7,24.0
2012-07-04,27.5,22.3,7,24.9
2012-07-05,25.9,22.3,7,24.1
2012-07-06,26.4,21.6,7,24.0
2012-07-07,27.1,22.0,7,24.55
