lon,date,temp_max,temp_min,temp
-35.73528,2014-01-01,28.4,24.2,26.299999999999997
-35.73528,2014-01-02,28.2,24.0,26.1
-35.73528,2014-01-03,29.2,24.0,26.6
-35.73528,2014-01-04,28.9,23.2,26.049999999999997
-35.73528,2014-01-05,29.4,23.8,26.6
-35.73528,2014-01-06,28.3,24.5,26.4
-35.73528,2014-01-07,28.8,23.7,26.25
-35.73528,2014-01-08,28.2,22.5,25.35
-35.73528,2014-01-09,27.9,23.1,25.5
-35.73528,2014-01-10,28.7,23.5,26.1
-35.73528,2014-01-11,27.9,23.5,25.7
-35.73528,2014-01-12,28.9,23.7,26.299999999999997
-35.73528,2014-01-13,28.8,23.5,26.15
-35.73528,2014-01-14,27.5,24.0,25.75
-35.73528,2014-01-15,29.2,24.5,26.85
-35.73528,2014-01-16,29.8,23.4,26.6
-35.73528,2014-01-17,30.2,24.0,27.1
-35.73528,2014-01-18,29.9,24.8,27.35
-35.73528,2014-01-19,30.2,24.4,27.299999999999997
-35.73528,2014-01-20,29.8,24.6,27.200000000000003
-35.73528,2014-01-21,30.0,24.4,27.2
-35.73528,2014-01-22,29.2,24.5,26.85
-35.73528,2014-01-23,29.4,24.5,26.95
-35.73528,2014-01-24,29.2,24.3,26.75
-35.73528,2014-01-25,29.3,24.5,26.9
-35.73528,2014-01-26,29.2,24.1,26.65
-35.73528,2014-01-27,28.6,24.5,26.55
-35.73528,2014-01-28,28.3,24.7,26.5
-35.73528,2014-01-29,29.6,24.5,27.05
-35.73528,2014-01-30,27.7,24.3,26.0
-35.73528,2014-01-31,29.0,24.5,26.75
-35.73528,2014-02-01,28.8,24.0,26.4
-35.73528,2014-02-02,28.2,23.9,26.049999999999997
-35.73528,2014-02-03,27.8,23.6,25.700000000000003
-35.73528,2014-02-04,28.2,23.0,25.6
-35.73528,2014-02-05,28.8,23.7,26.25
-35.73528,2014-02-06,27.0,22.7,24.85
-35.73528,2014-02-07,28.9,23.1,26.0
-35.73528,2014-02-08,28.8,23.4,26.1
-35.73528,2014-02-09,27.7,23.6,25.65
-35.73528,2014-02-10,28.7,24.3,26.5
-35.73528,2014-02-11,28.9,24.0,26.45
-35.73528,2014-02-12,28.6,24.3,26.450000000000003
-35.73528,2014-02-13,29.4,23.7,26.549999999999997
-35.73528,2014-02-14,29.8,23.8,26.8
-35.73528,2014-02-15,30.1,24.6,27.35
-35.73528,2014-02-16,29.2,24.5,26.85
-35.73528,2014-02-17,29.4,23.6,26.5
-35.73528,2014-02-18,29.8,23.2,26.5
-35.73528,2014-02-19,29.9,24.2,27.049999999999997
-35.73528,2014-02-20,28.4,25.1,26.75
-35.73528,2014-02-21,28.8,24.5,26.65
-35.73528,2014-02-22,27.0,25.3,26.15
-35.73528,2014-02-23,29.4,24.2,26.799999999999997
-35.73528,2014-02-24,29.6,24.8,27.200000000000003
-35.73528,2014-02-25,29.9,24.0,26.95
-35.73528,2014-02-26,29.3,23.5,26.4
-35.73528,2014-02-27,30.4,23.4,26.9
-35.73528,2014-02-28,29.3,23.8,26.55
-35.73528,2014-03-01,29.3,24.5,26.9
-35.73528,2014-03-02,29.6,24.3,26.950000000000003
-35.73528,2014-03-03,28.9,24.0,26.45
-35.73528,2014-03-04,29.2,24.5,26.85
-35.73528,2014-03-05,28.7,23.4,26.049999999999997
-35.73528,2014-03-06,29.1,23.6,26.35
-35.73528,2014-03-07,27.7,23.9,25.799999999999997
-35.73528,2014-03-08,29.8,23.9,26.85
-35.73528,2014-03-09,29.9,24.2,27.049999999999997
-35.73528,2014-03-10,29.4,24.5,26.95
-35.73528,2014-03-11,26.7,23.9,25.299999999999997
-35.73528,2014-03-12,28.6,24.5,26.55
-35.73528,2014-03-13,28.6,25.0,26.8
-35.73528,2014-03-14,28.7,25.1,26.9
-35.73528,2014-03-15,30.0,25.1,27.55
-35.73528,2014-03-16,28.6,23.8,26.200000000000003
-35.73528,2014-03-17,28.9,24.1,26.5
-35.73528,2014-03-18,28.0,24.7,26.35
-35.73528,2014-03-19,28.9,24.3,26.6
-35.73528,2014-03-20,29.1,24.2,26.65
-35.73528,2014-03-21,29.6,25.6,27.6
-35.73528,2014-03-22,29.0,24.9,26.95
-35.73528,2014-03-23,29.9,24.1,27.0
-35.73528,2014-03-24,30.3,24.9,27.6
-35.73528,2014-03-25,29.6,24.7,27.15
-35.73528,2014-03-26,29.5,23.7,26.6
-35.73528,2014-03-27,29.6,23.7,26.65
-35.73528,2014-03-28,29.1,24.1,26.6
-35.73528,2014-03-29,29.6,24.6,27.1
-35.73528,2014-03-30,28.9,25.2,27.049999999999997
-35.73528,2014-03-31,29.0,25.0,27.0
-35.73528,2014-04-01,29.4,24.4,26.9
-35.73528,2014-04-02,29.9,25.2,27.549999999999997
-35.73528,2014-04-03,29.4,24.9,27.15
-35.73528,2014-04-04,29.9,23.6,26.75
-35.73528,2014-04-05,31.1,24.3,27.700000000000003
-35.73528,2014-04-06,28.4,25.2,26.799999999999997
-35.73528,2014-04-07,29.5,24.5,27.0
-35.73528,2014-04-08,30.2,24.6,27.4
-35.73528,2014-04-09,29.4,25.3,27.35
-35.73528,2014-04-10,30.6,24.6,27.6
-35.73528,2014-04-11,30.0,25.1,27.55
-35.73528,2014-04-12,29.2,24.8,27.0
-35.73528,2014-04-13,28.0,24.9,26.45
-35.73528,2014-04-14,29.3,24.0,26.65
-35.73528,2014-04-15,28.0,23.9,25.95
-35.73528,2014-04-16,28.3,24.1,26.200000000000003
-35.73528,2014-04-17,29.1,24.3,26.700000000000003
-35.73528,2014-04-18,29.8,24.0,26.9
-35.73528,2014-04-19,29.1,24.5,26.8
-35.73528,2014-04-20,28.8,25.2,27.0
