lon,date,temp_max,temp_min,precipitacao,temp
-60.025,2003-01-01,28.4,23.8,5.9,26.1
-60.025,2003-01-02,29.4,24.5,0.9,26.95
-60.025,2003-01-03,27.5,24.4,11.0,25.95
-60.025,2003-01-04,29.6,24.0,1.1,26.8
-60.025,2003-01-05,30.4,24.1,5.7,27.25
-60.025,2003-01-06,30.9,24.1,0.3,27.5
-60.025,2003-01-07,30.3,24.7,3.2,27.5
-60.025,2003-01-08,30.2,24.6,11.6,27.4
-60.025,2003-01-09,30.3,24.2,3.7,27.25
-60.025,2003-01-10,30.4,24.4,4.3,27.4
-60.025,2003-01-11,30.0,24.7,6.1,27.35
-60.025,2003-01-12,30.8,24.4,3.0,27.6
-60.025,2003-01-13,30.7,24.8,0.3,27.75
-60.025,2003-01-14,30.0,25.2,0.4,27.6
-60.025,2003-01-15,29.3,25.3,9.4,27.3
-60.025,2003-01-16,29.7,25.2,5.2,27.45
-60.025,2003-01-17,30.7,24.8,2.4,27.75
-60.025,2003-01-18,30.8,24.8,2.5,27.8
-60.025,2003-01-19,30.9,24.6,0.9,27.75
-60.025,2003-01-20,31.3,24.0,0.1,27.65
-60.025,2003-01-21,32.3,24.4,0.0,28.349999999999998
-60.025,2003-01-22,32.0,24.7,1.6,28.35
-60.025,2003-01-23,30.7,25.0,1.6,27.85
-60.025,2003-01-24,28.9,24.9,8.4,26.9
-60.025,2003-01-25,28.6,24.2,21.3,26.4
-60.025,2003-01-26,29.6,23.6,7.8,26.6
-60.025,2003-01-27,28.4,24.2,1.0,26.299999999999997
-60.025,2003-01-28,31.1,24.3,5.8,27.700000000000003
-60.025,2003-01-29,27.6,24.8,14.6,26.200000000000003
-60.025,2003-01-30,25.4,24.2,24.9,24.799999999999997
-60.025,2003-01-31,28.3,23.9,10.8,26.1
-60.025,2003-02-01,28.3,24.1,10.5,26.200000000000003
-60.025,2003-02-02,27.6,24.0,13.2,25.8
-60.025,2003-02-03,28.3,23.4,8.5,25.85
-60.025,2003-02-04,27.9,23.6,5.4,25.75
-60.025,2003-02-05,29.8,23.9,2.7,26.85
-60.025,2003-02-06,30.5,23.9,20.7,27.2
-60.025,2003-02-07,29.4,24.0,43.1,26.7
-60.025,2003-02-08,28.1,23.7,16.4,25.9
-60.025,2003-02-09,28.8,23.6,7.9,26.200000000000003
-60.025,2003-02-10,27.3,23.5,20.4,25.4
-60.025,2003-02-11,29.1,23.5,8.9,26.3
-60.025,2003-02-12,30.4,24.0,3.8,27.2
-60.025,2003-02-13,31.0,24.9,0.4,27.95
-60.025,2003-02-14,31.7,25.2,0.0,28.45
-60.025,2003-02-15,31.9,24.7,0.0,28.299999999999997
-60.025,2003-02-16,30.4,25.2,0.2,27.799999999999997
-60.025,2003-02-17,30.5,25.3,5.8,27.9
-60.025,2003-02-18,30.4,24.6,6.3,27.5
-60.025,2003-02-19,29.9,24.5,11.3,27.2
-60.025,2003-02-20,30.8,24.3,4.3,27.55
-60.025,2003-02-21,30.7,24.1,1.4,27.4
-60.025,2003-02-22,29.0,24.6,5.4,26.8
-60.025,2003-02-23,27.6,23.8,3.0,25.700000000000003
-60.025,2003-02-24,26.1,23.4,41.1,24.75
-60.025,2003-02-25,29.3,23.4,2.1,26.35
-60.025,2003-02-26,30.6,24.6,17.1,27.6
-60.025,2003-02-27,29.1,24.5,11.7,26.8
-60.025,2003-02-28,30.3,24.8,16.4,27.55
-60.025,2003-03-01,27.7,23.8,15.1,25.75
-60.025,2003-03-02,27.4,23.3,5.6,25.35
-60.025,2003-03-03,27.7,23.3,13.5,25.5
-60.025,2003-03-04,27.2,23.8,17.3,25.5
-60.025,2003-03-05,27.2,23.5,22.4,25.35
-60.025,2003-03-06,28.0,23.7,9.7,25.85
-60.025,2003-03-07,30.1,23.2,10.5,26.65
-60.025,2003-03-08,29.2,23.8,14.5,26.5
-60.025,2003-03-09,31.1,23.4,3.2,27.25
-60.025,2003-03-10,30.4,24.6,17.1,27.5
-60.025,2003-03-11,31.0,24.7,3.4,27.85
-60.025,2003-03-12,31.0,24.7,0.7,27.85
-60.025,2003-03-13,30.4,24.8,6.5,27.6
-60.025,2003-03-14,31.0,24.9,2.8,27.95
-60.025,2003-03-15,29.4,24.7,9.6,27.049999999999997
-60.025,2003-03-16,27.3,24.7,2.1,26.0
-60.025,2003-03-17,30.8,24.4,11.2,27.6
-60.025,2003-03-18,26.1,23.7,18.8,24.9
-60.025,2003-03-19,30.4,23.5,13.7,26.95
-60.025,2003-03-20,31.6,24.0,4.4,27.8
-60.025,2003-03-21,28.1,24.2,18.1,26.15
-60.025,2003-03-22,30.3,23.9,2.3,27.1
-60.025,2003-03-23,31.1,24.2,0.6,27.65
-60.025,2003-03-24,31.0,24.3,8.8,27.65
-60.025,2003-03-25,25.9,24.0,45.0,24.95
-60.025,2003-03-26,30.2,23.8,11.4,27.0
-60.025,2003-03-27,29.0,24.3,8.3,26.65
-60.025,2003-03-28,27.1,23.7,31.4,25.4
-60.025,2003-03-29,28.6,23.7,6.4,26.15
-60.025,2003-03-30,28.8,23.5,20.5,26.15
-60.025,2003-03-31,28.9,24.1,27.9,26.5
-60.025,2003-04-01,27.2,23.8,16.8,25.5
-60.025,2003-04-02,29.1,23.5,9.2,26.3
-60.025,2003-04-03,30.8,24.4,15.4,27.6
-60.025,2003-04-04,29.0,24.1,12.7,26.55
-60.025,2003-04-05,29.1,23.9,12.6,26.5
-60.025,2003-04-06,29.8,24.0,19.0,26.9
-60.025,2003-04-07,30.7,23.8,0.7,27.25
-60.025,2003-04-08,31.4,24.5,0.0,27.95
-60.025,2003-04-09,31.3,25.3,2.7,28.3
-60.025,2003-04-10,32.2,24.8,2.1,28.5
-60.025,2003-04-11,27.5,23.5,30.5,25.5
-60.025,2003-04-12,27.6,24.0,19.6,25.8
-60.025,2003-04-13,27.1,23.8,24.4,25.450000000000003
-60.025,2003-04-14,26.1,23.4,18.0,24.75
-60.025,2003-04-15,26.4,23.4,17.7,24.9
-60.025,2003-04-16,28.4,23.0,7.2,25.7
-60.025,2003-04-17,28.6,23.3,14.5,25.950000000000003
-60.025,2003-04-18,30.3,23.7,3.7,27.0
-60.025,2003-04-19,30.2,24.4,3.6,27.299999999999997
-60.025,2003-04-20,29.4,24.1,4.1,26.75
-60.025,2003-04-21,28.0,23.7,8.6,25.85
-60.025,2003-04-22,28.7,23.7,7.4,26.2
-60.025,2003-04-23,27.8,23.6,8.5,25.700000000000003
-60.025,2003-04-24,26.8,23.5,14.6,25.15
-60.025,2003-04-25,29.7,22.9,10.7,26.299999999999997
-60.025,2003-04-26,28.3,23.7,11.9,26.0
-60.025,2003-04-27,30.4,23.5,3.0,26.95
-60.025,2003-04-28,28.8,24.1,11.1,26.450000000000003
-60.025,2003-04-29,28.4,24.0,20.4,26.2
-60.025,2003-04-30,29.0,23.7,5.9,26.35
-60.025,2003-05-01,28.8,23.7,14.4,26.25
-60.025,2003-05-02,27.9,23.8,8.3,25.85
-60.025,2003-05-03,28.9,23.4,5.7,26.15
-60.025,2003-05-04,29.1,23.6,2.6,26.35
-60.025,2003-05-05,28.5,24.0,6.4,26.25
-60.025,2003-05-06,27.5,23.4,22.3,25.45
-60.025,2003-05-07,27.7,23.3,16.1,25.5
-60.025,2003-05-08,24.7,23.2,94.5,23.95
-60.025,2003-05-09,28.5,22.7,3.6,25.6
-60.025,2003-05-10,28.7,22.8,5.9,25.75
-60.025,2003-05-11,29.2,23.2,8.6,26.2
-60.025,2003-05-12,28.5,23.5,8.7,26.0
-60.025,2003-05-13,30.1,24.3,7.4,27.200000000000003
-60.025,2003-05-14,29.1,23.5,18.3,26.3
-60.025,2003-05-15,29.6,24.0,18.1,26.8
