lon,date,temp_max,temp_min,precipitacao,temp
-48.32766,2007-01-01,30.9,22.1,6.1,26.5
-48.32766,2007-01-02,31.1,22.7,1.1,26.9
-48.32766,2007-01-03,31.6,23.8,6.5,27.700000000000003
-48.32766,2007-01-04,27.8,23.1,16.2,25.450000000000003
-48.32766,2007-01-05,30.6,23.1,10.5,26.85
-48.32766,2007-01-06,28.4,22.9,20.6,25.65
-48.32766,2007-01-07,30.2,22.7,7.7,26.45
-48.32766,2007-01-08,32.5,22.8,1.6,27.65
-48.32766,2007-01-09,31.1,23.9,5.2,27.5
-48.32766,2007-01-10,30.2,23.3,8.6,26.75
-48.32766,2007-01-11,29.3,23.3,13.3,26.3
-48.32766,2007-01-12,31.5,23.0,6.1,27.25
-48.32766,2007-01-13,29.3,23.6,20.3,26.450000000000003
-48.32766,2007-01-14,29.2,23.6,0.5,26.4
-48.32766,2007-01-15,31.6,23.7,1.0,27.65
-48.32766,2007-01-16,32.5,23.9,11.1,28.2
-48.32766,2007-01-17,32.4,23.2,0.6,27.799999999999997
-48.32766,2007-01-18,31.6,24.2,1.8,27.9
-48.32766,2007-01-19,33.2,24.1,0.0,28.650000000000002
-48.32766,2007-01-20,31.5,24.1,3.0,27.8
-48.32766,2007-01-21,32.7,23.8,1.7,28.25
-48.32766,2007-01-22,31.9,24.5,5.6,28.2
-48.32766,2007-01-23,30.4,23.7,14.8,27.049999999999997
-48.32766,2007-01-24,31.0,23.6,19.9,27.3
-48.32766,2007-01-25,30.6,23.1,18.3,26.85
-48.32766,2007-01-26,31.0,23.5,7.2,27.25
-48.32766,2007-01-27,30.7,23.6,21.4,27.15
-48.32766,2007-01-28,30.7,22.9,14.2,26.799999999999997
-48.32766,2007-01-29,30.8,23.9,20.3,27.35
-48.32766,2007-01-30,30.0,23.2,14.7,26.6
-48.32766,2007-01-31,30.8,23.1,13.5,26.950000000000003
-48.32766,2007-02-01,26.6,23.3,38.8,24.950000000000003
-48.32766,2007-02-02,27.6,22.7,19.5,25.15
-48.32766,2007-02-03,24.9,22.9,24.8,23.9
-48.32766,2007-02-04,26.7,22.4,16.9,24.549999999999997
-48.32766,2007-02-05,24.7,22.8,73.0,23.75
-48.32766,2007-02-06,26.7,22.7,11.8,24.7
-48.32766,2007-02-07,28.8,22.6,8.2,25.700000000000003
-48.32766,2007-02-08,27.8,22.8,9.1,25.3
-48.32766,2007-02-09,30.6,22.2,3.1,26.4
-48.32766,2007-02-10,31.1,22.5,3.8,26.8
-48.32766,2007-02-11,30.2,23.0,14.6,26.6
-48.32766,2007-02-12,30.2,23.0,3.8,26.6
-48.32766,2007-02-13,29.3,23.0,8.4,26.15
-48.32766,2007-02-14,28.8,23.0,4.8,25.9
-48.32766,2007-02-15,27.1,22.9,20.0,25.0
-48.32766,2007-02-16,25.7,22.2,39.1,23.95
-48.32766,2007-02-17,27.2,22.2,0.2,24.7
-48.32766,2007-02-18,26.1,22.1,8.5,24.1
-48.32766,2007-02-19,25.9,21.7,14.3,23.799999999999997
-48.32766,2007-02-20,23.5,21.8,24.4,22.65
-48.32766,2007-02-21,25.2,21.7,18.8,23.45
-48.32766,2007-02-22,28.5,21.0,12.5,24.75
-48.32766,2007-02-23,29.3,21.1,12.5,25.200000000000003
-48.32766,2007-02-24,30.4,21.7,5.2,26.049999999999997
-48.32766,2007-02-25,31.6,21.9,4.7,26.75
-48.32766,2007-02-26,31.5,22.0,12.9,26.75
-48.32766,2007-02-27,30.1,22.5,7.8,26.3
-48.32766,2007-02-28,30.4,22.3,6.0,26.35
-48.32766,2007-03-01,31.1,22.2,0.2,26.65
-48.32766,2007-03-02,31.6,22.6,0.0,27.1
-48.32766,2007-03-03,30.4,21.0,0.2,25.7
-48.32766,2007-03-04,32.0,22.1,0.0,27.05
-48.32766,2007-03-05,32.3,21.2,0.0,26.75
-48.32766,2007-03-06,31.7,22.1,2.3,26.9
-48.32766,2007-03-07,31.3,23.8,0.2,27.55
-48.32766,2007-03-08,31.8,22.2,0.0,27.0
-48.32766,2007-03-09,32.1,23.2,0.2,27.65
-48.32766,2007-03-10,32.1,23.7,0.6,27.9
-48.32766,2007-03-11,29.8,22.7,11.7,26.25
-48.32766,2007-03-12,27.5,22.5,21.8,25.0
-48.32766,2007-03-13,29.3,22.7,0.6,26.0
-48.32766,2007-03-14,30.0,23.2,10.6,26.6
-48.32766,2007-03-15,29.5,22.1,23.0,25.8
-48.32766,2007-03-16,29.9,22.0,10.7,25.95
-48.32766,2007-03-17,31.4,22.8,1.2,27.1
-48.32766,2007-03-18,30.7,22.5,10.4,26.6
-48.32766,2007-03-19,26.6,22.1,34.2,24.35
-48.32766,2007-03-20,30.6,22.5,8.5,26.55
-48.32766,2007-03-21,29.1,22.6,35.7,25.85
-48.32766,2007-03-22,29.6,21.9,7.3,25.75
-48.32766,2007-03-23,30.4,21.7,0.9,26.049999999999997
-48.32766,2007-03-24,31.4,22.6,0.5,27.0
-48.32766,2007-03-25,31.1,23.9,0.3,27.5
-48.32766,2007-03-26,31.4,23.1,0.1,27.25
-48.32766,2007-03-27,31.5,22.5,0.0,27.0
-48.32766,2007-03-28,32.6,21.6,0.0,27.1
-48.32766,2007-03-29,32.2,24.4,0.2,28.3
-48.32766,2007-03-30,32.7,21.6,0.0,27.150000000000002
-48.32766,2007-03-31,33.9,21.7,0.0,27.799999999999997
-48.32766,2007-04-01,34.6,23.1,0.0,28.85
-48.32766,2007-04-02,34.8,25.3,0.0,30.049999999999997
-48.32766,2007-04-03,30.5,23.8,0.7,27.15
-48.32766,2007-04-04,32.0,24.3,0.0,28.15
-48.32766,2007-04-05,31.7,23.3,0.6,27.5
-48.32766,2007-04-06,32.9,24.4,0.0,28.65
-48.32766,2007-04-07,34.1,23.8,0.0,28.950000000000003
-48.32766,2007-04-08,31.5,23.7,5.9,27.6
-48.32766,2007-04-09,31.0,23.3,3.9,27.15
-48.32766,2007-04-10,27.7,22.9,21.9,25.299999999999997
-48.32766,2007-04-11,29.0,23.2,21.3,26.1
-48.32766,2007-04-12,29.6,22.2,16.5,25.9
-48.32766,2007-04-13,30.6,21.9,2.5,26.25
-48.32766,2007-04-14,30.3,23.2,1.8,26.75
-48.32766,2007-04-15,31.1,22.8,1.0,26.950000000000003
-48.32766,2007-04-16,30.9,22.7,1.5,26.799999999999997
-48.32766,2007-04-17,29.5,22.2,15.0,25.85
-48.32766,2007-04-18,29.1,21.9,13.8,25.5
-48.32766,2007-04-19,31.1,21.9,8.9,26.5
-48.32766,2007-04-20,30.1,22.9,7.1,26.5
-48.32766,2007-04-21,30.1,22.8,0.0,26.450000000000003
-48.32766,2007-04-22,32.5,21.9,0.0,27.2
-48.32766,2007-04-23,31.4,24.0,0.0,27.7
-48.32766,2007-04-24,30.0,23.0,13.0,26.5
-48.32766,2007-04-25,31.2,23.1,5.3,27.15
-48.32766,2007-04-26,30.2,23.0,7.6,26.6
-48.32766,2007-04-27,29.4,22.3,7.0,25.85
-48.32766,2007-04-28,30.5,22.7,6.8,26.6
-48.32766,2007-04-29,30.3,22.3,2.7,26.3
-48.32766,2007-04-30,30.5,23.0,1.0,26.75
-48.32766,2007-05-01,31.8,23.0,0.7,27.4
-48.32766,2007-05-02,29.9,22.7,4.8,26.299999999999997
-48.32766,2007-05-03,31.1,22.4,0.2,26.75
-48.32766,2007-05-04,30.6,24.2,0.3,27.4
-48.32766,2007-05-05,31.9,22.8,0.0,27.35
-48.32766,2007-05-06,31.5,21.1,0.0,26.3
-48.32766,2007-05-07,32.0,21.8,0.0,26.9
-48.32766,2007-05-08,32.3,21.1,0.0,26.7
-48.32766,2007-05-09,32.8,22.7,0.0,27.75
-48.32766,2007-05-10,33.4,23.0,0.0,28.2
-48.32766,2007-05-11,30.5,23.7,0.0,27.1
-48.32766,2007-05-12,31.3,23.8,0.0,27.55
-48.32766,2007-05-13,32.1,22.3,0.0,27.200000000000003
-48.32766,2007-05-14,32.2,21.2,0.0,26.700000000000003
-48.32766,2007-05-15,32.3,22.5,0.0,27.4
-48.32766,2007-05-16,33.3,22.4,0.0,27.849999999999998
-48.32766,2007-05-17,32.7,23.6,0.0,28.150000000000002
-48.32766,2007-05-18,32.3,24.2,0.0,28.25
-48.32766,2007-05-19,32.9,21.4,0.0,27.15
-48.32766,2007-05-20,33.4,21.2,0.0,27.299999999999997
-48.32766,2007-05-21,32.9,22.2,0.0,27.549999999999997
-48.32766,2007-05-22,33.3,20.3,0.0,26.799999999999997
-48.32766,2007-05-23,33.7,20.2,0.0,26.950000000000003
-48.32766,2007-05-24,34.0,23.2,0.0,28.6
-48.32766,2007-05-25,33.3,23.0,0.0,28.15
-48.32766,2007-05-26,33.4,24.7,0.0,29.049999999999997
-48.32766,2007-05-27,32.0,24.5,0.0,28.25
-48.32766,2007-05-28,31.8,24.1,0.0,27.950000000000003
-48.32766,2007-05-29,31.7,23.6,0.0,27.65
-48.32766,2007-05-30,31.4,23.6,0.2,27.5
-48.32766,2007-05-31,31.6,24.2,0.0,27.9
-48.32766,2007-06-01,31.5,22.1,0.0,26.8
-48.32766,2007-06-02,31.9,21.8,0.0,26.85
-48.32766,2007-06-03,32.6,22.0,0.0,27.3
-48.32766,2007-06-04,34.5,21.7,0.0,28.1
-48.32766,2007-06-05,34.0,22.2,0.0,28.1
-48.32766,2007-06-06,31.3,21.7,0.0,26.5
-48.32766,2007-06-07,33.3,22.3,0.0,27.799999999999997
-48.32766,2007-06-08,32.6,23.3,0.0,27.950000000000003
-48.32766,2007-06-09,32.3,20.3,0.0,26.299999999999997
-48.32766,2007-06-10,32.5,20.0,0.0,26.25
-48.32766,2007-06-11,32.8,22.5,0.0,27.65
-48.32766,2007-06-12,32.4,20.4,0.0,26.4
-48.32766,2007-06-13,32.8,20.5,0.0,26.65
-48.32766,2007-06-14,33.5,23.8,0.0,28.65
-48.32766,2007-06-15,32.2,20.8,0.0,26.5
-48.32766,2007-06-16,31.7,21.1,0.0,26.4
-48.32766,2007-06-17,32.6,20.1,0.0,26.35
-48.32766,2007-06-18,33.4,21.7,0.0,27.549999999999997
-48.32766,2007-06-19,32.0,21.0,0.0,26.5
-48.32766,2007-06-20,31.7,20.1,0.0,25.9
-48.32766,2007-06-21,31.9,20.1,0.0,26.0
-48.32766,2007-06-22,30.7,20.3,0.0,25.5
-48.32766,2007-06-23,31.2,21.5,0.0,26.35
-48.32766,2007-06-24,31.9,18.1,0.0,25.0
-48.32766,2007-06-25,31.8,18.6,0.0,25.200000000000003
-48.32766,2007-06-26,31.0,19.2,0.0,25.1
-48.32766,2007-06-27,32.1,22.1,0.0,27.1
-48.32766,2007-06-28,32.7,20.5,0.0,26.6
-48.32766,2007-06-29,32.5,23.7,0.0,28.1
-48.32766,2007-06-30,32.5,19.9,0.0,26.2
-48.32766,2007-07-01,32.8,22.4,0.0,27.599999999999998
-48.32766,2007-07-02,33.1,20.7,0.0,26.9
-48.32766,2007-07-03,32.6,19.8,0.0,26.200000000000003
-48.32766,2007-07-04,32.3,20.8,0.0,26.549999999999997
-48.32766,2007-07-05,31.8,20.6,0.0,26.200000000000003
-48.32766,2007-07-06,31.8,20.4,0.0,26.1
-48.32766,2007-07-07,31.8,19.6,0.0,25.700000000000003
-48.32766,2007-07-08,32.1,20.4,0.0,26.25
-48.32766,2007-07-09,33.0,19.9,0.0,26.45
-48.32766,2007-07-10,32.8,20.5,0.0,26.65
-48.32766,2007-07-11,32.8,21.7,0.0,27.25
-48.32766,2007-07-12,33.2,22.9,0.0,28.05
-48.32766,2007-07-13,32.7,20.8,0.0,26.75
-48.32766,2007-07-14,32.7,20.8,0.0,26.75
-48.32766,2007-07-15,33.9,22.1,0.0,28.0
-48.32766,2007-07-16,34.1,20.5,0.0,27.3
-48.32766,2007-07-17,34.0,20.5,0.0,27.25
-48.32766,2007-07-18,34.2,20.7,0.0,27.450000000000003
-48.32766,2007-07-19,35.4,21.8,0.0,28.6
-48.32766,2007-07-20,35.0,23.3,0.0,29.15
-48.32766,2007-07-21,33.8,23.2,0.0,28.5
-48.32766,2007-07-22,33.5,22.3,0.0,27.9
-48.32766,2007-07-23,34.0,19.7,0.0,26.85
-48.32766,2007-07-24,35.1,21.9,0.0,28.5
-48.32766,2007-07-25,34.5,20.7,0.0,27.6
-48.32766,2007-07-26,35.2,21.3,0.0,28.25
-48.32766,2007-07-27,34.4,23.2,0.0,28.799999999999997
-48.32766,2007-07-28,33.1,23.6,0.0,28.35
-48.32766,2007-07-29,33.4,20.8,0.0,27.1
-48.32766,2007-07-30,33.0,21.8,0.0,27.4
-48.32766,2007-07-31,32.3,22.0,0.0,27.15
-48.32766,2007-08-01,32.1,19.1,0.0,25.6
-48.32766,2007-08-02,32.4,19.2,0.0,25.799999999999997
-48.32766,2007-08-03,32.8,19.0,0.0,25.9
-48.32766,2007-08-04,33.0,23.6,0.0,28.3
-48.32766,2007-08-05,34.0,22.4,0.0,28.2
-48.32766,2007-08-06,33.8,20.1,0.0,26.95
-48.32766,2007-08-07,33.9,20.4,0.0,27.15
-48.32766,2007-08-08,33.7,20.1,0.0,26.900000000000002
-48.32766,2007-08-09,33.6,20.5,0.0,27.05
-48.32766,2007-08-10,32.8,21.4,0.0,27.099999999999998
-48.32766,2007-08-11,33.6,21.5,0.0,27.55
-48.32766,2007-08-12,33.4,21.6,0.0,27.5
-48.32766,2007-08-13,32.7,21.4,0.0,27.05
-48.32766,2007-08-14,32.7,20.9,0.0,26.8
-48.32766,2007-08-15,32.3,22.8,0.0,27.549999999999997
-48.32766,2007-08-16,31.9,21.6,0.0,26.75
-48.32766,2007-08-17,32.5,19.4,0.0,25.95
-48.32766,2007-08-18,33.0,19.5,0.0,26.25
-48.32766,2007-08-19,33.6,19.9,0.0,26.75
-48.32766,2007-08-20,34.4,23.3,0.0,28.85
-48.32766,2007-08-21,35.2,21.0,0.0,28.1
-48.32766,2007-08-22,36.2,21.7,0.0,28.950000000000003
-48.32766,2007-08-23,34.3,22.7,0.0,28.5
-48.32766,2007-08-24,34.5,21.3,0.0,27.9
-48.32766,2007-08-25,35.0,21.3,0.0,28.15
-48.32766,2007-08-26,36.5,21.9,0.0,29.2
-48.32766,2007-08-27,36.7,21.7,0.0,29.200000000000003
-48.32766,2007-08-28,36.9,24.7,0.0,30.799999999999997
-48.32766,2007-08-29,36.4,25.7,0.0,31.049999999999997
-48.32766,2007-08-30,34.2,24.0,0.0,29.1
-48.32766,2007-08-31,34.5,23.6,0.0,29.05
-48.32766,2007-09-01,35.3,22.6,0.0,28.95
-48.32766,2007-09-02,35.4,22.4,0.0,28.9
-48.32766,2007-09-03,35.1,23.2,0.0,29.15
-48.32766,2007-09-04,35.1,25.1,0.0,30.1
-48.32766,2007-09-05,34.4,23.9,0.0,29.15
-48.32766,2007-09-06,34.9,22.8,0.0,28.85
-48.32766,2007-09-07,35.6,24.9,0.0,30.25
-48.32766,2007-09-08,35.5,23.8,0.0,29.65
-48.32766,2007-09-09,35.8,25.0,0.0,30.4
-48.32766,2007-09-10,35.6,25.5,0.0,30.55
-48.32766,2007-09-11,36.0,24.5,0.0,30.25
-48.32766,2007-09-12,35.5,24.9,0.0,30.2
-48.32766,2007-09-13,35.1,24.8,0.0,29.950000000000003
-48.32766,2007-09-14,36.1,23.4,0.0,29.75
-48.32766,2007-09-15,36.9,23.2,0.0,30.049999999999997
-48.32766,2007-09-16,37.9,23.8,0.0,30.85
-48.32766,2007-09-17,38.7,24.2,0.0,31.450000000000003
-48.32766,2007-09-18,35.0,25.6,8.0,30.3
-48.32766,2007-09-19,34.7,23.4,0.0,29.05
-48.32766,2007-09-20,35.7,22.5,0.0,29.1
-48.32766,2007-09-21,36.3,23.2,0.0,29.75
-48.32766,2007-09-22,36.0,24.9,0.0,30.45
-48.32766,2007-09-23,37.1,23.0,0.0,30.05
-48.32766,2007-09-24,36.7,24.0,0.0,30.35
-48.32766,2007-09-25,36.3,25.1,0.2,30.7
-48.32766,2007-09-26,34.4,23.7,0.6,29.049999999999997
-48.32766,2007-09-27,34.8,21.7,0.0,28.25
-48.32766,2007-09-28,35.5,21.4,0.0,28.45
-48.32766,2007-09-29,36.4,21.5,0.0,28.95
-48.32766,2007-09-30,36.8,22.7,0.0,29.75
-48.32766,2007-10-01,36.5,22.8,0.0,29.65
-48.32766,2007-10-02,36.6,22.7,0.1,29.65
-48.32766,2007-10-03,36.5,23.9,0.0,30.2
-48.32766,2007-10-04,35.0,25.8,0.0,30.4
-48.32766,2007-10-05,34.8,24.7,0.0,29.75
-48.32766,2007-10-06,36.0,24.9,0.0,30.45
-48.32766,2007-10-07,36.3,25.5,0.0,30.9
-48.32766,2007-10-08,37.1,25.8,0.0,31.450000000000003
-48.32766,2007-10-09,36.3,26.2,0.0,31.25
-48.32766,2007-10-10,35.9,24.5,0.0,30.2
-48.32766,2007-10-11,37.1,25.8,0.0,31.450000000000003
-48.32766,2007-10-12,35.9,25.5,1.5,30.7
-48.32766,2007-10-13,34.3,25.0,0.8,29.65
-48.32766,2007-10-14,35.8,25.9,0.0,30.849999999999998
-48.32766,2007-10-15,35.6,24.6,0.4,30.1
-48.32766,2007-10-16,36.9,23.9,0.0,30.4
-48.32766,2007-10-17,37.4,25.7,0.0,31.549999999999997
-48.32766,2007-10-18,34.9,25.6,0.6,30.25
-48.32766,2007-10-19,35.5,24.4,0.1,29.95
-48.32766,2007-10-20,36.7,25.3,5.6,31.0
-48.32766,2007-10-21,31.8,23.9,11.2,27.85
