date,temp_max,temp_min,temp
2009-01-01,28.8,22.9,25.85
2009-01-02,32.4,23.3,27.85
2009-01-03,29.9,23.4,26.65
2009-01-04,28.4,23.3,25.85
2009-01-05,27.9,23.2,25.549999999999997
2009-01-06,27.2,23.2,25.2
2009-01-07,30.3,23.6,26.950000000000003
2009-01-08,29.3,22.7,26.0
2009-01-09,29.3,23.1,26.200000000000003
2009-01-10,27.0,23.3,25.15
2009-01-11,29.3,22.8,26.05
2009-01-12,29.3,23.1,26.200000000000003
2009-01-13,31.4,22.9,27.15
2009-01-14,30.4,23.5,26.95
2009-01-15,31.2,24.0,27.6
2009-01-16,31.1,23.8,27.450000000000003
2009-01-17,31.7,24.0,27.85
2009-01-18,29.7,24.2,26.95
2009-01-19,30.7,23.3,27.0
2009-01-20,28.8,22.8,25.8
2009-01-21,31.9,23.1,27.5
2009-01-22,25.8,23.3,24.55
2009-01-23,28.6,22.9,25.75
2009-01-24,29.3,23.1,26.200000000000003
2009-01-25,26.5,22.6,24.55
2009-01-26,26.9,22.8,24.85
2009-01-27,26.8,22.6,24.700000000000003
2009-01-28,26.3,22.4,24.35
2009-01-29,28.3,22.5,25.4
2009-01-30,28.1,22.8,25.450000000000003
2009-01-31,30.0,23.3,26.65
2009-02-01,29.6,23.8,26.700000000000003
2009-02-02,29.9,22.7,26.299999999999997
2009-02-03,32.1,23.5,27.8
2009-02-04,28.2,23.4,25.799999999999997
2009-02-05,28.5,23.1,25.8
2009-02-06,28.8,23.6,26.200000000000003
2009-02-07,29.7,23.2,26.45
2009-02-08,27.9,23.3,25.6
2009-02-09,27.7,23.7,25.7
2009-02-10,31.5,23.3,27.4
2009-02-11,29.3,24.6,26.950000000000003
2009-02-12,31.2,23.8,27.5
2009-02-13,30.0,23.6,26.8
2009-02-14,29.4,23.7,26.549999999999997
2009-02-15,30.8,23.3,27.05
2009-02-16,30.7,23.7,27.2
2009-02-17,28.7,23.3,26.0
2009-02-18,31.2,22.9,27.049999999999997
2009-02-19,29.8,23.8,26.8
2009-02-20,27.7,23.2,25.45
2009-02-21,26.4,22.7,24.549999999999997
2009-02-22,28.3,22.5,25.4
2009-02-23,29.3,23.4,26.35
2009-02-24,29.6,22.8,26.200000000000003
2009-02-25,23.8,22.2,23.0
2009-02-26,30.0,22.2,26.1
2009-02-27,30.5,23.0,26.75
2009-02-28,29.5,22.8,26.15
2009-03-01,30.4,23.0,26.7
2009-03-02,32.2,23.0,27.6
2009-03-03,29.9,23.0,26.45
2009-03-04,29.0,23.1,26.05
2009-03-05,29.2,23.2,26.2
2009-03-06,31.8,22.9,27.35
2009-03-07,29.9,23.8,26.85
2009-03-08,29.1,23.5,26.3
2009-03-09,29.1,23.8,26.450000000000003
2009-03-10,28.5,23.8,26.15
2009-03-11,29.6,23.4,26.5
2009-03-12,27.5,23.3,25.4
2009-03-13,29.5,22.8,26.15
2009-03-14,28.8,23.3,26.05
2009-03-15,29.9,22.7,26.299999999999997
2009-03-16,27.8,23.4,25.6
2009-03-17,27.4,22.6,25.0
2009-03-18,28.1,23.4,25.75
2009-03-19,28.0,23.2,25.6
2009-03-20,27.3,23.3,25.3
2009-03-21,28.8,22.7,25.75
2009-03-22,30.0,23.4,26.7
2009-03-23,32.0,23.7,27.85
2009-03-24,31.6,23.7,27.65
2009-03-25,27.6,23.1,25.35
2009-03-26,28.5,23.1,25.8
2009-03-27,30.4,23.0,26.7
2009-03-28,29.6,24.0,26.8
2009-03-29,26.6,23.8,25.200000000000003
2009-03-30,27.8,22.7,25.25
2009-03-31,30.5,23.2,26.85
2009-04-01,30.2,23.6,26.9
2009-04-02,28.2,23.1,25.65
2009-04-03,29.1,23.4,26.25
2009-04-04,30.0,23.4,26.7
2009-04-05,29.1,23.8,26.450000000000003
2009-04-06,29.6,22.9,26.25
2009-04-07,25.4,23.6,24.5
2009-04-08,27.5,23.3,25.4
2009-04-09,27.8,23.2,25.5
2009-04-10,31.5,22.8,27.15
2009-04-11,25.8,22.9,24.35
2009-04-12,30.4,23.1,26.75
2009-04-13,29.0,23.4,26.2
2009-04-14,26.9,23.1,25.0
2009-04-15,27.0,22.7,24.85
2009-04-16,28.1,22.6,25.35
2009-04-17,28.7,22.8,25.75
2009-04-18,29.7,23.0,26.35
2009-04-19,29.1,22.5,25.8
2009-04-20,28.0,23.3,25.65
2009-04-21,28.5,23.0,25.75
2009-04-22,26.0,23.2,24.6
2009-04-23,27.5,23.0,25.25
2009-04-24,29.3,22.8,26.05
2009-04-25,29.0,21.9,25.45
2009-04-26,30.1,23.3,26.700000000000003
2009-04-27,27.4,22.7,25.049999999999997
2009-04-28,29.2,23.4,26.299999999999997
2009-04-29,29.5,23.5,26.5
2009-04-30,28.1,23.6,25.85
2009-05-01,28.8,23.7,26.25
2009-05-02,29.9,23.1,26.5
2009-05-03,30.2,23.7,26.95
2009-05-04,29.3,22.7,26.0
2009-05-05,29.3,23.3,26.3
2009-05-06,28.9,23.1,26.0
2009-05-07,29.4,22.8,26.1
2009-05-08,30.3,22.9,26.6
2009-05-09,30.6,23.8,27.200000000000003
2009-05-10,27.1,23.6,25.35
2009-05-11,29.1,23.5,26.3
2009-05-12,30.0,23.4,26.7
