date,temp_max,temp_min,temp
2009-01-01,31.5,25.1,28.3
2009-01-02,31.7,24.5,28.1
2009-01-03,31.0,25.4,28.2
2009-01-04,31.5,25.2,28.35
2009-01-05,30.6,25.1,27.85
2009-01-06,30.4,25.3,27.85
2009-01-07,30.2,24.7,27.45
2009-01-08,30.0,25.0,27.5
2009-01-09,30.7,24.9,27.799999999999997
2009-01-10,30.7,25.1,27.9
2009-01-11,30.9,24.9,27.9
2009-01-12,31.2,25.1,28.15
2009-01-13,30.6,25.0,27.8
2009-01-14,30.5,24.6,27.55
2009-01-15,29.4,24.2,26.799999999999997
2009-01-16,27.5,24.0,25.75
2009-01-17,29.3,25.1,27.200000000000003
2009-01-18,28.8,24.2,26.5
2009-01-19,30.2,22.8,26.5
2009-01-20,29.7,24.2,26.95
2009-01-21,28.9,24.4,26.65
2009-01-22,30.0,24.5,27.25
2009-01-23,30.2,24.0,27.1
2009-01-24,29.7,24.2,26.95
2009-01-25,30.3,24.5,27.4
2009-01-26,30.2,25.0,27.6
2009-01-27,30.4,25.2,27.799999999999997
2009-01-28,30.6,25.1,27.85
2009-01-29,28.4,24.4,26.4
2009-01-30,28.9,23.5,26.2
2009-01-31,29.1,23.4,26.25
2009-02-01,30.3,25.0,27.65
2009-02-02,28.5,24.2,26.35
2009-02-03,28.2,24.3,26.25
2009-02-04,29.3,24.6,26.950000000000003
2009-02-05,29.1,24.3,26.700000000000003
2009-02-06,29.4,24.1,26.75
2009-02-07,29.5,24.2,26.85
2009-02-08,30.5,24.0,27.25
2009-02-09,30.6,24.9,27.75
2009-02-10,29.2,25.2,27.2
2009-02-11,29.7,25.0,27.35
2009-02-12,29.4,24.8,27.1
2009-02-13,29.7,24.3,27.0
2009-02-14,30.5,25.0,27.75
2009-02-15,28.2,24.5,26.35
2009-02-16,29.8,24.9,27.35
2009-02-17,30.6,24.5,27.55
2009-02-18,29.5,23.9,26.7
2009-02-19,28.3,23.4,25.85
2009-02-20,28.1,23.3,25.700000000000003
2009-02-21,29.7,24.1,26.9
2009-02-22,28.7,23.7,26.2
2009-02-23,29.0,23.8,26.4
2009-02-24,29.1,24.0,26.55
2009-02-25,29.2,24.6,26.9
2009-02-26,28.4,23.8,26.1
2009-02-27,28.6,22.9,25.75
2009-02-28,26.8,23.3,25.05
2009-03-01,27.3,24.0,25.65
2009-03-02,28.0,23.6,25.8
2009-03-03,27.7,23.8,25.75
2009-03-04,29.7,23.8,26.75
2009-03-05,29.1,24.8,26.950000000000003
2009-03-06,29.5,24.8,27.15
2009-03-07,29.6,23.9,26.75
2009-03-08,29.6,24.6,27.1
2009-03-09,29.2,24.7,26.95
2009-03-10,30.3,24.4,27.35
2009-03-11,29.2,24.6,26.9
2009-03-12,30.2,24.3,27.25
2009-03-13,29.8,24.8,27.3
2009-03-14,29.8,24.3,27.05
2009-03-15,29.9,24.5,27.2
2009-03-16,29.4,24.3,26.85
2009-03-17,28.0,24.2,26.1
2009-03-18,28.9,23.8,26.35
2009-03-19,29.2,23.1,26.15
2009-03-20,30.6,24.2,27.4
2009-03-21,30.3,25.1,27.700000000000003
2009-03-22,30.7,25.2,27.95
2009-03-23,31.0,25.6,28.3
2009-03-24,31.1,24.3,27.700000000000003
2009-03-25,30.0,24.3,27.15
2009-03-26,30.6,24.6,27.6
2009-03-27,30.7,25.4,28.049999999999997
2009-03-28,29.3,25.0,27.15
2009-03-29,29.6,24.5,27.05
2009-03-30,31.6,24.0,27.8
2009-03-31,29.8,25.0,27.4
2009-04-01,30.3,25.1,27.700000000000003
2009-04-02,30.6,24.7,27.65
2009-04-03,30.0,24.4,27.2
2009-04-04,30.9,24.6,27.75
2009-04-05,29.0,23.6,26.3
2009-04-06,29.9,24.5,27.2
2009-04-07,29.9,23.7,26.799999999999997
2009-04-08,30.9,25.0,27.95
2009-04-09,30.7,25.0,27.85
2009-04-10,29.6,24.6,27.1
2009-04-11,28.3,24.3,26.3
2009-04-12,27.6,23.9,25.75
2009-04-13,28.1,23.7,25.9
2009-04-14,27.4,23.8,25.6
2009-04-15,29.7,23.4,26.549999999999997
2009-04-16,29.1,24.9,27.0
2009-04-17,28.9,24.1,26.5
2009-04-18,28.3,24.0,26.15
2009-04-19,28.2,24.3,26.25
2009-04-20,29.0,24.0,26.5
2009-04-21,29.2,24.3,26.75
2009-04-22,27.0,23.9,25.45
2009-04-23,27.8,24.0,25.9
2009-04-24,29.1,23.3,26.200000000000003
2009-04-25,29.5,24.7,27.1
2009-04-26,29.2,23.9,26.549999999999997
2009-04-27,29.4,24.4,26.9
2009-04-28,29.5,24.1,26.8
2009-04-29,28.2,23.8,26.0
2009-04-30,28.9,24.1,26.5
2009-05-01,27.8,24.1,25.950000000000003
2009-05-02,27.0,24.1,25.55
2009-05-03,26.5,23.7,25.1
2009-05-04,28.3,23.7,26.0
2009-05-05,29.1,23.5,26.3
2009-05-06,29.1,24.2,26.65
2009-05-07,28.3,23.7,26.0
2009-05-08,28.6,23.6,26.1
2009-05-09,28.1,23.8,25.950000000000003
2009-05-10,28.1,23.8,25.950000000000003
2009-05-11,26.9,23.6,25.25
2009-05-12,28.4,23.3,25.85
2009-05-13,28.7,23.7,26.2
2009-05-14,28.4,23.5,25.95
2009-05-15,28.7,23.3,26.0
2009-05-16,28.2,24.1,26.15
2009-05-17,28.7,24.3,26.5
2009-05-18,28.4,23.8,26.1
2009-05-19,28.3,24.1,26.200000000000003
2009-05-20,27.6,23.9,25.75
2009-05-21,27.1,24.3,25.700000000000003
2009-05-22,27.1,23.9,25.5
2009-05-23,25.1,23.9,24.5
2009-05-24,27.6,23.8,25.700000000000003
2009-05-25,27.9,23.5,25.7
2009-05-26,27.0,23.3,25.15
2009-05-27,26.0,22.8,24.4
2009-05-28,28.1,23.1,25.6
2009-05-29,28.0,23.4,25.7
2009-05-30,27.5,23.6,25.55
2009-05-31,28.3,23.6,25.950000000000003
2009-06-01,27.8,23.7,25.75
2009-06-02,28.2,23.3,25.75
2009-06-03,28.7,23.8,26.25
2009-06-04,26.9,23.3,25.1
2009-06-05,27.7,23.9,25.799999999999997
2009-06-06,28.1,23.7,25.9
2009-06-07,27.3,23.7,25.5
2009-06-08,28.1,23.2,25.65
2009-06-09,28.4,24.0,26.2
2009-06-10,27.7,24.0,25.85
2009-06-11,27.5,23.4,25.45
2009-06-12,26.4,23.1,24.75
2009-06-13,26.8,23.0,24.9
