lon,date,temp_max,temp_min,precipitacao,temp
-34.88111,2015-01-01,28.8,24.3,1.4,26.55
-34.88111,2015-01-02,28.6,23.8,2.1,26.200000000000003
-34.88111,2015-01-03,30.3,23.3,0.3,26.8
-34.88111,2015-01-04,29.6,23.2,0.1,26.4
-34.88111,2015-01-05,31.1,24.5,0.4,27.8
-34.88111,2015-01-06,30.7,24.9,0.3,27.799999999999997
-34.88111,2015-01-07,29.6,24.9,1.2,27.25
-34.88111,2015-01-08,29.7,25.2,0.6,27.45
-34.88111,2015-01-09,29.4,24.5,1.9,26.95
-34.88111,2015-01-10,29.5,24.5,1.2,27.0
-34.88111,2015-01-11,30.5,25.2,1.2,27.85
-34.88111,2015-01-12,28.3,23.9,2.0,26.1
-34.88111,2015-01-13,29.0,24.8,2.9,26.9
-34.88111,2015-01-14,28.8,24.4,0.4,26.6
-34.88111,2015-01-15,29.3,24.2,0.3,26.75
-34.88111,2015-01-16,31.0,24.2,0.0,27.6
-34.88111,2015-01-17,29.9,24.9,2.5,27.4
-34.88111,2015-01-18,29.9,24.6,0.9,27.25
-34.88111,2015-01-19,30.1,25.0,0.6,27.55
-34.88111,2015-01-20,31.3,24.1,0.0,27.700000000000003
-34.88111,2015-01-21,29.6,24.3,1.4,26.950000000000003
-34.88111,2015-01-22,30.7,25.2,0.3,27.95
-34.88111,2015-01-23,31.0,25.0,1.2,28.0
-34.88111,2015-01-24,29.3,24.0,3.5,26.65
-34.88111,2015-01-25,30.6,24.2,1.0,27.4
-34.88111,2015-01-26,30.3,24.7,0.2,27.5
-34.88111,2015-01-27,30.4,24.5,0.0,27.45
-34.88111,2015-01-28,31.0,24.7,0.0,27.85
-34.88111,2015-01-29,30.3,24.4,1.3,27.35
-34.88111,2015-01-30,31.2,25.3,0.0,28.25
-34.88111,2015-01-31,31.2,25.5,1.9,28.35
-34.88111,2015-02-01,29.5,25.3,1.1,27.4
-34.88111,2015-02-02,30.1,24.8,0.0,27.450000000000003
-34.88111,2015-02-03,31.1,25.2,0.3,28.15
-34.88111,2015-02-04,30.6,25.5,2.3,28.05
-34.88111,2015-02-05,29.9,25.2,0.6,27.549999999999997
-34.88111,2015-02-06,31.3,25.0,0.0,28.15
-34.88111,2015-02-07,31.3,25.3,0.0,28.3
-34.88111,2015-02-08,31.3,25.4,0.0,28.35
-34.88111,2015-02-09,31.5,25.1,0.5,28.3
-34.88111,2015-02-10,30.6,24.4,1.2,27.5
-34.88111,2015-02-11,30.4,25.5,1.1,27.95
-34.88111,2015-02-12,30.4,25.1,1.8,27.75
-34.88111,2015-02-13,31.5,25.5,0.0,28.5
-34.88111,2015-02-14,32.0,24.9,0.2,28.45
-34.88111,2015-02-15,29.6,25.3,2.8,27.450000000000003
-34.88111,2015-02-16,31.4,25.7,0.2,28.549999999999997
-34.88111,2015-02-17,30.3,24.9,4.4,27.6
-34.88111,2015-02-18,29.6,25.3,5.7,27.450000000000003
-34.88111,2015-02-19,30.2,24.3,2.6,27.25
-34.88111,2015-02-20,29.6,23.4,2.4,26.5
-34.88111,2015-02-21,29.9,23.9,4.4,26.9
-34.88111,2015-02-22,28.1,23.7,9.7,25.9
-34.88111,2015-02-23,28.7,23.4,5.6,26.049999999999997
-34.88111,2015-02-24,29.8,24.2,6.6,27.0
-34.88111,2015-02-25,29.1,23.8,2.6,26.450000000000003
-34.88111,2015-02-26,29.9,24.8,0.1,27.35
-34.88111,2015-02-27,30.3,24.4,2.1,27.35
-34.88111,2015-02-28,30.7,24.1,0.1,27.4
-34.88111,2015-03-01,29.1,24.9,5.8,27.0
-34.88111,2015-03-02,29.7,24.4,4.2,27.049999999999997
-34.88111,2015-03-03,29.6,25.2,0.6,27.4
-34.88111,2015-03-04,28.5,24.7,3.9,26.6
-34.88111,2015-03-05,29.0,24.6,17.1,26.8
-34.88111,2015-03-06,28.1,24.0,4.8,26.05
-34.88111,2015-03-07,30.3,24.2,0.0,27.25
-34.88111,2015-03-08,27.6,24.4,8.9,26.0
-34.88111,2015-03-09,28.6,24.2,3.2,26.4
-34.88111,2015-03-10,30.1,24.8,1.5,27.450000000000003
-34.88111,2015-03-11,29.5,24.9,1.4,27.2
-34.88111,2015-03-12,29.7,24.8,0.2,27.25
-34.88111,2015-03-13,30.3,25.1,0.0,27.700000000000003
-34.88111,2015-03-14,30.3,24.0,0.0,27.15
-34.88111,2015-03-15,29.9,25.0,0.6,27.45
-34.88111,2015-03-16,30.4,24.4,1.9,27.4
-34.88111,2015-03-17,30.5,25.5,0.3,28.0
-34.88111,2015-03-18,30.7,25.8,0.4,28.25
-34.88111,2015-03-19,30.6,25.7,0.0,28.15
-34.88111,2015-03-20,29.7,24.5,2.4,27.1
-34.88111,2015-03-21,29.6,24.3,4.9,26.950000000000003
-34.88111,2015-03-22,29.8,24.2,4.2,27.0
-34.88111,2015-03-23,27.8,24.6,16.3,26.200000000000003
-34.88111,2015-03-24,28.8,24.2,1.5,26.5
-34.88111,2015-03-25,29.5,24.4,1.7,26.95
-34.88111,2015-03-26,29.4,23.9,0.2,26.65
-34.88111,2015-03-27,30.2,24.2,0.0,27.2
-34.88111,2015-03-28,29.3,23.7,1.3,26.5
-34.88111,2015-03-29,28.8,24.9,14.4,26.85
-34.88111,2015-03-30,28.9,23.9,1.5,26.4
-34.88111,2015-03-31,30.0,24.9,0.0,27.45
-34.88111,2015-04-01,30.5,24.2,0.0,27.35
-34.88111,2015-04-02,29.8,24.6,0.0,27.200000000000003
-34.88111,2015-04-03,30.6,24.0,0.0,27.3
-34.88111,2015-04-04,29.7,23.9,1.9,26.799999999999997
-34.88111,2015-04-05,30.9,23.8,0.3,27.35
-34.88111,2015-04-06,31.2,24.1,0.6,27.65
-34.88111,2015-04-07,31.7,25.2,0.8,28.45
-34.88111,2015-04-08,31.1,25.0,0.8,28.05
-34.88111,2015-04-09,31.4,24.8,1.2,28.1
-34.88111,2015-04-10,29.5,25.4,1.8,27.45
-34.88111,2015-04-11,29.9,24.8,2.9,27.35
-34.88111,2015-04-12,30.8,25.3,1.4,28.05
-34.88111,2015-04-13,30.2,25.0,1.1,27.6
-34.88111,2015-04-14,30.4,25.0,1.5,27.7
-34.88111,2015-04-15,31.0,25.2,0.0,28.1
-34.88111,2015-04-16,31.5,24.6,0.0,28.05
-34.88111,2015-04-17,30.7,25.6,0.0,28.15
-34.88111,2015-04-18,31.6,25.1,0.0,28.35
-34.88111,2015-04-19,31.8,24.2,0.0,28.0
-34.88111,2015-04-20,31.0,24.7,0.4,27.85
-34.88111,2015-04-21,31.9,24.1,0.7,28.0
-34.88111,2015-04-22,30.3,25.1,2.8,27.700000000000003
-34.88111,2015-04-23,31.1,25.1,2.6,28.1
-34.88111,2015-04-24,31.2,26.1,0.8,28.65
-34.88111,2015-04-25,30.7,25.7,0.6,28.2
-34.88111,2015-04-26,31.8,24.5,0.0,28.15
-34.88111,2015-04-27,31.4,24.8,0.0,28.1
-34.88111,2015-04-28,31.9,25.7,0.0,28.799999999999997
-34.88111,2015-04-29,31.5,26.0,0.0,28.75
-34.88111,2015-04-30,31.7,25.8,0.0,28.75
-34.88111,2015-05-01,31.4,25.7,0.2,28.549999999999997
-34.88111,2015-05-02,31.1,24.8,6.2,27.950000000000003
-34.88111,2015-05-03,28.7,25.0,4.7,26.85
-34.88111,2015-05-04,30.1,25.3,0.5,27.700000000000003
-34.88111,2015-05-05,29.9,24.9,0.0,27.4
-34.88111,2015-05-06,29.5,24.6,2.2,27.05
-34.88111,2015-05-07,29.8,24.7,0.9,27.25
-34.88111,2015-05-08,29.8,24.2,3.1,27.0
-34.88111,2015-05-09,29.6,24.7,2.2,27.15
-34.88111,2015-05-10,29.8,24.1,2.0,26.950000000000003
-34.88111,2015-05-11,29.5,23.7,1.9,26.6
-34.88111,2015-05-12,30.3,23.5,0.0,26.9
-34.88111,2015-05-13,29.3,24.5,2.4,26.9
-34.88111,2015-05-14,29.4,24.1,2.4,26.75
-34.88111,2015-05-15,29.9,23.9,1.0,26.9
-34.88111,2015-05-16,28.3,24.5,4.0,26.4
-34.88111,2015-05-17,29.4,24.5,0.2,26.95
-34.88111,2015-05-18,29.0,24.1,1.0,26.55
-34.88111,2015-05-19,28.8,24.1,1.8,26.450000000000003
-34.88111,2015-05-20,28.1,24.1,3.6,26.1
-34.88111,2015-05-21,28.0,23.7,2.1,25.85
-34.88111,2015-05-22,28.4,24.8,3.8,26.6
-34.88111,2015-05-23,28.3,24.1,3.0,26.200000000000003
-34.88111,2015-05-24,28.2,24.1,3.2,26.15
-34.88111,2015-05-25,28.3,23.8,2.8,26.05
-34.88111,2015-05-26,29.1,24.0,2.6,26.55
-34.88111,2015-05-27,29.3,24.0,2.7,26.65
-34.88111,2015-05-28,28.8,24.4,2.0,26.6
-34.88111,2015-05-29,29.4,24.0,1.3,26.7
-34.88111,2015-05-30,27.4,23.7,7.5,25.549999999999997
-34.88111,2015-05-31,28.9,24.7,0.6,26.799999999999997
-34.88111,2015-06-01,28.3,23.9,0.4,26.1
-34.88111,2015-06-02,28.7,24.7,0.2,26.7
-34.88111,2015-06-03,27.5,23.8,3.6,25.65
-34.88111,2015-06-04,28.7,23.2,5.5,25.95
-34.88111,2015-06-05,27.1,22.9,2.0,25.0
-34.88111,2015-06-06,28.1,22.7,3.6,25.4
-34.88111,2015-06-07,26.7,23.2,3.9,24.95
-34.88111,2015-06-08,28.2,24.2,2.4,26.2
-34.88111,2015-06-09,27.8,22.8,2.0,25.3
-34.88111,2015-06-10,28.6,23.2,1.1,25.9
-34.88111,2015-06-11,28.4,23.7,0.6,26.049999999999997
-34.88111,2015-06-12,28.5,23.3,2.7,25.9
-34.88111,2015-06-13,28.8,23.3,0.0,26.05
-34.88111,2015-06-14,28.9,23.4,3.2,26.15
-34.88111,2015-06-15,27.9,23.1,2.2,25.5
-34.88111,2015-06-16,28.4,23.8,0.7,26.1
-34.88111,2015-06-17,28.4,23.7,2.4,26.049999999999997
-34.88111,2015-06-18,27.0,22.8,4.2,24.9
-34.88111,2015-06-19,28.5,22.5,0.3,25.5
-34.88111,2015-06-20,27.7,23.3,2.4,25.5
-34.88111,2015-06-21,27.8,23.6,4.5,25.700000000000003
-34.88111,2015-06-22,27.5,22.8,4.4,25.15
-34.88111,2015-06-23,26.3,23.0,13.8,24.65
-34.88111,2015-06-24,26.1,22.7,8.2,24.4
-34.88111,2015-06-25,26.5,23.2,7.1,24.85
-34.88111,2015-06-26,27.0,22.9,2.5,24.95
-34.88111,2015-06-27,27.1,22.7,2.1,24.9
-34.88111,2015-06-28,26.2,22.8,1.9,24.5
-34.88111,2015-06-29,26.1,22.3,8.2,24.200000000000003
-34.88111,2015-06-30,26.2,22.9,9.7,24.549999999999997
-34.88111,2015-07-01,27.4,24.0,0.8,25.7
-34.88111,2015-07-02,26.2,23.3,4.1,24.75
-34.88111,2015-07-03,27.4,23.0,3.3,25.2
-34.88111,2015-07-04,26.4,23.5,9.0,24.95
-34.88111,2015-07-05,27.8,23.2,2.7,25.5
-34.88111,2015-07-06,27.2,23.2,1.1,25.2
-34.88111,2015-07-07,26.4,22.1,3.9,24.25
-34.88111,2015-07-08,27.0,22.2,2.2,24.6
-34.88111,2015-07-09,27.9,22.9,0.0,25.4
-34.88111,2015-07-10,27.5,23.7,3.5,25.6
-34.88111,2015-07-11,27.1,23.6,2.5,25.35
-34.88111,2015-07-12,26.6,22.9,4.2,24.75
-34.88111,2015-07-13,27.5,23.7,2.5,25.6
-34.88111,2015-07-14,27.8,23.5,1.4,25.65
-34.88111,2015-07-15,26.8,23.2,3.0,25.0
-34.88111,2015-07-16,25.2,22.9,5.0,24.049999999999997
-34.88111,2015-07-17,26.8,23.3,4.1,25.05
-34.88111,2015-07-18,26.5,22.9,3.4,24.7
-34.88111,2015-07-19,26.0,22.7,2.1,24.35
-34.88111,2015-07-20,25.6,22.7,4.8,24.15
-34.88111,2015-07-21,25.7,22.2,6.1,23.95
-34.88111,2015-07-22,25.9,21.7,3.7,23.799999999999997
-34.88111,2015-07-23,25.3,21.7,4.3,23.5
-34.88111,2015-07-24,26.4,22.5,4.8,24.45
-34.88111,2015-07-25,26.7,22.0,1.5,24.35
-34.88111,2015-07-26,25.3,22.4,9.2,23.85
-34.88111,2015-07-27,25.2,22.3,9.7,23.75
-34.88111,2015-07-28,25.4,22.0,3.4,23.7
-34.88111,2015-07-29,25.7,22.4,4.8,24.049999999999997
-34.88111,2015-07-30,26.7,22.5,2.0,24.6
-34.88111,2015-07-31,26.6,22.2,3.0,24.4
-34.88111,2015-08-01,24.8,22.3,2.5,23.55
-34.88111,2015-08-02,26.3,22.1,2.1,24.200000000000003
-34.88111,2015-08-03,26.3,22.4,0.9,24.35
-34.88111,2015-08-04,27.5,22.5,0.0,25.0
-34.88111,2015-08-05,26.2,22.0,2.2,24.1
-34.88111,2015-08-06,26.8,22.2,1.9,24.5
-34.88111,2015-08-07,26.2,22.6,1.0,24.4
-34.88111,2015-08-08,25.6,22.2,2.0,23.9
-34.88111,2015-08-09,25.8,21.7,3.2,23.75
-34.88111,2015-08-10,26.5,22.6,0.7,24.55
-34.88111,2015-08-11,26.5,21.6,3.5,24.05
-34.88111,2015-08-12,25.8,21.4,3.4,23.6
-34.88111,2015-08-13,26.2,21.9,3.0,24.049999999999997
-34.88111,2015-08-14,25.7,22.8,2.5,24.25
-34.88111,2015-08-15,25.9,21.9,3.6,23.9
-34.88111,2015-08-16,25.8,22.3,2.5,24.05
-34.88111,2015-08-17,27.2,23.0,0.2,25.1
-34.88111,2015-08-18,26.7,22.8,1.8,24.75
-34.88111,2015-08-19,27.2,22.2,1.9,24.7
-34.88111,2015-08-20,26.7,22.1,3.5,24.4
-34.88111,2015-08-21,27.4,22.2,1.4,24.799999999999997
-34.88111,2015-08-22,27.3,22.9,0.4,25.1
-34.88111,2015-08-23,27.1,22.7,0.0,24.9
-34.88111,2015-08-24,27.4,22.2,1.9,24.799999999999997
-34.88111,2015-08-25,27.8,21.8,1.2,24.8
-34.88111,2015-08-26,27.8,23.7,1.3,25.75
-34.88111,2015-08-27,27.3,22.9,0.0,25.1
-34.88111,2015-08-28,26.6,22.9,1.3,24.75
-34.88111,2015-08-29,26.4,22.2,2.1,24.299999999999997
-34.88111,2015-08-30,26.7,21.9,3.3,24.299999999999997
-34.88111,2015-08-31,26.0,22.4,2.0,24.2
-34.88111,2015-09-01,26.4,21.8,1.8,24.1
-34.88111,2015-09-02,27.4,22.5,0.6,24.95
-34.88111,2015-09-03,28.4,22.5,0.0,25.45
-34.88111,2015-09-04,27.9,22.4,1.3,25.15
-34.88111,2015-09-05,28.2,23.5,1.2,25.85
-34.88111,2015-09-06,28.3,23.5,0.2,25.9
-34.88111,2015-09-07,27.6,23.5,0.0,25.55
-34.88111,2015-09-08,28.2,23.3,0.0,25.75
-34.88111,2015-09-09,28.2,23.3,1.8,25.75
-34.88111,2015-09-10,28.1,23.6,0.7,25.85
-34.88111,2015-09-11,27.7,22.9,1.8,25.299999999999997
-34.88111,2015-09-12,28.0,23.0,3.5,25.5
-34.88111,2015-09-13,28.9,23.4,0.0,26.15
-34.88111,2015-09-14,27.5,22.4,2.8,24.95
-34.88111,2015-09-15,27.2,22.9,1.8,25.049999999999997
-34.88111,2015-09-16,28.6,23.2,1.3,25.9
-34.88111,2015-09-17,27.1,22.8,3.2,24.950000000000003
-34.88111,2015-09-18,28.4,22.7,0.8,25.549999999999997
-34.88111,2015-09-19,26.8,23.1,1.1,24.950000000000003
-34.88111,2015-09-20,28.1,23.3,0.0,25.700000000000003
-34.88111,2015-09-21,28.5,23.5,0.0,26.0
-34.88111,2015-09-22,28.3,23.4,0.0,25.85
-34.88111,2015-09-23,28.5,23.9,0.4,26.2
-34.88111,2015-09-24,28.9,24.1,0.4,26.5
-34.88111,2015-09-25,28.7,23.4,0.5,26.049999999999997
-34.88111,2015-09-26,28.6,23.6,0.0,26.1
-34.88111,2015-09-27,29.2,24.0,0.0,26.6
-34.88111,2015-09-28,28.7,23.7,0.0,26.2
-34.88111,2015-09-29,30.1,23.3,0.1,26.700000000000003
-34.88111,2015-09-30,30.1,23.7,0.4,26.9
-34.88111,2015-10-01,28.8,24.3,0.2,26.55
-34.88111,2015-10-02,29.3,23.3,0.6,26.3
-34.88111,2015-10-03,28.9,23.6,0.3,26.25
-34.88111,2015-10-04,29.1,23.5,0.0,26.3
-34.88111,2015-10-05,30.9,23.8,0.0,27.35
-34.88111,2015-10-06,29.8,24.2,0.6,27.0
-34.88111,2015-10-07,28.4,23.4,1.3,25.9
-34.88111,2015-10-08,29.0,23.5,0.0,26.25
-34.88111,2015-10-09,29.3,23.6,0.7,26.450000000000003
-34.88111,2015-10-10,29.0,23.8,0.5,26.4
-34.88111,2015-10-11,28.7,24.1,0.7,26.4
-34.88111,2015-10-12,29.1,23.0,1.2,26.05
-34.88111,2015-10-13,28.9,24.3,1.1,26.6
-34.88111,2015-10-14,28.4,23.9,3.5,26.15
-34.88111,2015-10-15,27.5,24.0,0.8,25.75
-34.88111,2015-10-16,28.4,24.0,1.2,26.2
-34.88111,2015-10-17,28.7,23.2,0.2,25.95
-34.88111,2015-10-18,29.5,23.7,0.3,26.6
-34.88111,2015-10-19,29.0,23.7,0.0,26.35
-34.88111,2015-10-20,29.4,23.4,0.0,26.4
-34.88111,2015-10-21,30.4,23.4,0.0,26.9
-34.88111,2015-10-22,30.6,24.3,0.0,27.450000000000003
-34.88111,2015-10-23,30.3,24.4,0.0,27.35
-34.88111,2015-10-24,30.2,24.4,0.0,27.299999999999997
-34.88111,2015-10-25,29.5,24.5,0.0,27.0
-34.88111,2015-10-26,29.9,23.9,1.6,26.9
-34.88111,2015-10-27,29.4,24.2,0.0,26.799999999999997
-34.88111,2015-10-28,30.0,24.2,0.0,27.1
-34.88111,2015-10-29,30.4,24.2,0.0,27.299999999999997
-34.88111,2015-10-30,30.5,24.1,0.0,27.3
-34.88111,2015-10-31,30.2,24.4,0.0,27.299999999999997
-34.88111,2015-11-01,28.9,24.2,2.4,26.549999999999997
-34.88111,2015-11-02,29.4,24.5,0.1,26.95
-34.88111,2015-11-03,30.0,24.5,0.5,27.25
-34.88111,2015-11-04,27.9,23.2,2.3,25.549999999999997
-34.88111,2015-11-05,30.3,24.0,0.0,27.15
-34.88111,2015-11-06,30.1,24.0,0.0,27.05
-34.88111,2015-11-07,30.1,24.9,0.0,27.5
-34.88111,2015-11-08,28.9,24.5,0.2,26.7
-34.88111,2015-11-09,30.7,23.9,0.2,27.299999999999997
-34.88111,2015-11-10,28.6,23.8,1.4,26.200000000000003
-34.88111,2015-11-11,29.9,23.6,0.1,26.75
-34.88111,2015-11-12,30.2,24.1,0.0,27.15
-34.88111,2015-11-13,30.8,23.9,0.0,27.35
-34.88111,2015-11-14,31.2,24.2,0.0,27.7
-34.88111,2015-11-15,30.1,24.7,1.5,27.4
-34.88111,2015-11-16,30.5,25.0,0.0,27.75
-34.88111,2015-11-17,29.5,24.1,1.0,26.8
-34.88111,2015-11-18,30.2,23.3,1.0,26.75
-34.88111,2015-11-19,30.5,24.6,0.0,27.55
-34.88111,2015-11-20,30.9,24.6,0.0,27.75
-34.88111,2015-11-21,31.6,25.1,0.0,28.35
-34.88111,2015-11-22,31.7,24.9,0.0,28.299999999999997
-34.88111,2015-11-23,31.2,24.4,0.0,27.799999999999997
-34.88111,2015-11-24,31.4,24.6,0.0,28.0
-34.88111,2015-11-25,32.3,25.2,0.0,28.75
-34.88111,2015-11-26,33.1,24.9,0.0,29.0
-34.88111,2015-11-27,32.6,24.9,0.0,28.75
-34.88111,2015-11-28,30.9,24.6,0.0,27.75
-34.88111,2015-11-29,31.2,24.7,0.0,27.95
-34.88111,2015-11-30,31.6,25.2,0.0,28.4
-34.88111,2015-12-01,30.2,25.9,0.1,28.049999999999997
-34.88111,2015-12-02,31.4,25.1,0.0,28.25
-34.88111,2015-12-03,31.4,24.3,0.0,27.85
-34.88111,2015-12-04,32.0,24.4,0.0,28.2
-34.88111,2015-12-05,32.0,24.5,0.0,28.25
-34.88111,2015-12-06,32.1,25.2,0.0,28.65
-34.88111,2015-12-07,31.6,25.1,0.0,28.35
-34.88111,2015-12-08,30.8,25.0,0.2,27.9
-34.88111,2015-12-09,30.1,25.5,3.2,27.8
-34.88111,2015-12-10,30.4,24.9,0.1,27.65
-34.88111,2015-12-11,31.6,25.1,0.0,28.35
-34.88111,2015-12-12,31.2,25.3,0.0,28.25
-34.88111,2015-12-13,30.9,25.4,0.6,28.15
-34.88111,2015-12-14,30.2,24.7,0.2,27.45
-34.88111,2015-12-15,30.7,24.5,0.5,27.6
-34.88111,2015-12-16,30.3,24.9,1.8,27.6
-34.88111,2015-12-17,30.0,25.3,3.0,27.65
-34.88111,2015-12-18,29.2,25.0,4.7,27.1
-34.88111,2015-12-19,28.6,24.7,3.4,26.65
-34.88111,2015-12-20,28.9,24.4,3.5,26.65
-34.88111,2015-12-21,28.6,24.1,2.6,26.35
-34.88111,2015-12-22,28.7,24.6,1.4,26.65
-34.88111,2015-12-23,29.6,24.6,1.4,27.1
-34.88111,2015-12-24,26.7,23.4,9.2,25.049999999999997
-34.88111,2015-12-25,28.1,23.7,6.5,25.9
-34.88111,2015-12-26,28.4,24.5,0.4,26.45
-34.88111,2015-12-27,28.9,24.7,3.3,26.799999999999997
-34.88111,2015-12-28,29.0,24.0,4.9,26.5
-34.88111,2015-12-29,27.4,23.5,2.8,25.45
-34.88111,2015-12-30,29.2,24.8,0.6,27.0
-34.88111,2015-12-31,29.2,24.6,3.1,26.9
