date,temp_max,temp_min,month,temp
2000-01-01,27.0,23.7,1,25.35
2000-01-02,28.1,23.5,1,25.8
2000-01-03,30.0,22.8,1,26.4
2000-01-04,29.8,22.8,1,26.3
2000-01-05,26.8,23.6,1,25.200000000000003
2000-01-06,27.7,22.8,1,25.25
2000-01-07,30.3,22.6,1,26.450000000000003
2000-01-08,30.4,22.6,1,26.5
2000-01-09,29.5,23.7,1,26.6
2000-01-10,26.1,22.0,1,24.05
2000-01-11,28.9,22.1,1,25.5
2000-01-12,28.8,22.5,1,25.65
2000-01-13,29.4,22.9,1,26.15
2000-01-14,29.1,23.3,1,26.200000000000003
2000-01-15,26.0,23.3,1,24.65
2000-01-16,27.1,22.1,1,24.6
2000-01-17,28.7,21.5,1,25.1
2000-01-18,30.0,21.9,1,25.95
2000-01-19,27.3,22.5,1,24.9
2000-01-20,30.2,21.6,1,25.9
2000-01-21,30.8,22.8,1,26.8
2000-01-22,31.4,23.7,1,27.549999999999997
2000-01-23,27.8,22.2,1,25.0
2000-01-24,31.2,22.8,1,27.0
2000-01-25,31.2,23.2,1,27.2
2000-01-26,27.7,22.8,1,25.25
2000-01-27,28.4,22.9,1,25.65
2000-01-28,27.1,22.7,1,24.9
2000-01-29,28.8,23.2,1,26.0
2000-01-30,27.2,22.7,1,24.95
2000-01-31,28.0,21.8,1,24.9
2000-02-01,28.5,22.4,2,25.45
2000-02-02,30.6,22.4,2,26.5
2000-02-03,31.2,23.4,2,27.299999999999997
2000-02-04,30.2,23.5,2,26.85
2000-02-05,31.0,23.3,2,27.15
2000-02-06,29.8,22.8,2,26.3
2000-02-07,30.0,22.7,2,26.35
2000-02-08,29.6,22.7,2,26.15
2000-02-09,31.0,23.0,2,27.0
2000-02-10,30.5,22.6,2,26.55
2000-02-11,30.3,22.9,2,26.6
2000-02-12,30.7,23.5,2,27.1
2000-02-13,30.1,23.3,2,26.700000000000003
2000-02-14,27.2,22.2,2,24.7
2000-02-15,25.7,21.4,2,23.549999999999997
2000-02-16,23.4,20.9,2,22.15
2000-02-17,26.8,21.0,2,23.9
2000-02-18,28.2,21.4,2,24.799999999999997
2000-02-19,30.3,21.9,2,26.1
2000-02-20,27.4,21.9,2,24.65
2000-02-21,27.6,21.9,2,24.75
2000-02-22,29.1,21.8,2,25.450000000000003
2000-02-23,26.9,21.6,2,24.25
2000-02-24,28.4,22.3,2,25.35
2000-02-25,30.3,22.2,2,26.25
2000-02-26,28.6,22.5,2,25.55
2000-02-27,28.3,23.2,2,25.75
2000-02-28,28.2,22.8,2,25.5
2000-02-29,29.5,23.0,2,26.25
2000-03-01,28.4,22.7,3,25.549999999999997
2000-03-02,30.8,22.9,3,26.85
2000-03-03,28.7,22.3,3,25.5
2000-03-04,28.8,23.2,3,26.0
2000-03-05,29.3,22.6,3,25.950000000000003
2000-03-06,28.3,22.3,3,25.3
2000-03-07,28.7,23.1,3,25.9
2000-03-08,28.6,22.2,3,25.4
2000-03-09,30.3,22.1,3,26.200000000000003
2000-03-10,27.1,22.4,3,24.75
2000-03-11,27.4,22.4,3,24.9
2000-03-12,29.4,22.2,3,25.799999999999997
2000-03-13,28.4,22.9,3,25.65
2000-03-14,29.9,22.5,3,26.2
2000-03-15,29.9,23.0,3,26.45
2000-03-16,29.8,22.4,3,26.1
2000-03-17,28.2,22.3,3,25.25
2000-03-18,27.6,22.3,3,24.950000000000003
2000-03-19,29.9,22.1,3,26.0
2000-03-20,27.8,22.3,3,25.05
2000-03-21,30.2,22.1,3,26.15
2000-03-22,29.3,22.4,3,25.85
2000-03-23,28.2,22.4,3,25.299999999999997
2000-03-24,29.5,22.1,3,25.8
2000-03-25,30.2,22.8,3,26.5
2000-03-26,29.4,22.1,3,25.75
2000-03-27,30.5,22.7,3,26.6
2000-03-28,27.9,23.2,3,25.549999999999997
2000-03-29,27.7,21.7,3,24.7
2000-03-30,27.2,20.6,3,23.9
2000-03-31,28.9,22.3,3,25.6
2000-04-01,27.7,21.5,4,24.6
2000-04-02,26.7,22.4,4,24.549999999999997
2000-04-03,27.1,21.7,4,24.4
2000-04-04,26.2,21.6,4,23.9
2000-04-05,28.9,22.5,4,25.7
2000-04-06,27.4,22.4,4,24.9
2000-04-07,30.1,22.6,4,26.35
2000-04-08,29.9,21.9,4,25.9
2000-04-09,29.7,23.2,4,26.45
2000-04-10,30.1,22.2,4,26.15
2000-04-11,28.2,21.7,4,24.95
2000-04-12,28.4,22.2,4,25.299999999999997
2000-04-13,28.2,22.5,4,25.35
2000-04-14,29.4,21.8,4,25.6
2000-04-15,26.5,22.8,4,24.65
2000-04-16,29.0,21.6,4,25.3
2000-04-17,30.0,22.5,4,26.25
2000-04-18,29.4,22.7,4,26.049999999999997
2000-04-19,27.6,22.6,4,25.1
2000-04-20,24.0,20.5,4,22.25
