date,temp_max,temp_min,temp
2000-01-01,23.8,19.3,21.55
2000-01-02,21.1,18.4,19.75
2000-01-03,21.4,18.2,19.799999999999997
2000-01-04,23.5,18.2,20.85
2000-01-05,24.6,19.8,22.200000000000003
2000-01-06,26.5,18.7,22.6
2000-01-07,25.5,19.3,22.4
2000-01-08,27.4,19.4,23.4
2000-01-09,27.4,19.2,23.299999999999997
2000-01-10,28.8,19.2,24.0
2000-01-11,29.2,19.6,24.4
2000-01-12,28.4,20.3,24.35
2000-01-13,29.3,20.3,24.8
2000-01-14,29.3,20.7,25.0
2000-01-15,30.0,20.9,25.45
2000-01-16,29.3,20.0,24.65
2000-01-17,29.3,19.9,24.6
2000-01-18,27.8,21.2,24.5
2000-01-19,27.3,18.9,23.1
2000-01-20,24.0,16.9,20.45
2000-01-21,25.6,14.7,20.15
2000-01-22,28.0,18.5,23.25
2000-01-23,27.1,17.3,22.200000000000003
2000-01-24,26.8,17.9,22.35
2000-01-25,27.9,19.5,23.7
2000-01-26,22.8,18.0,20.4
2000-01-27,20.9,16.4,18.65
2000-01-28,22.9,14.4,18.65
2000-01-29,23.1,13.1,18.1
2000-01-30,25.2,14.8,20.0
2000-01-31,26.3,17.7,22.0
2000-02-01,23.4,20.2,21.799999999999997
2000-02-02,24.2,19.0,21.6
2000-02-03,27.3,18.0,22.65
2000-02-04,26.2,20.3,23.25
2000-02-05,25.2,19.1,22.15
2000-02-06,25.1,18.1,21.6
2000-02-07,24.7,17.1,20.9
2000-02-08,24.0,18.0,21.0
2000-02-09,25.8,18.4,22.1
2000-02-10,22.6,20.0,21.3
2000-02-11,23.4,20.3,21.85
2000-02-12,25.8,19.9,22.85
2000-02-13,27.5,19.7,23.6
2000-02-14,27.7,20.0,23.85
2000-02-15,28.7,20.1,24.4
2000-02-16,25.1,18.2,21.65
2000-02-17,18.6,15.7,17.15
2000-02-18,21.1,15.1,18.1
2000-02-19,21.9,14.3,18.1
2000-02-20,24.5,16.7,20.6
2000-02-21,26.7,16.9,21.799999999999997
2000-02-22,27.6,18.6,23.1
2000-02-23,29.3,18.7,24.0
2000-02-24,28.7,18.7,23.7
2000-02-25,26.5,19.5,23.0
2000-02-26,27.6,19.2,23.4
2000-02-27,28.2,19.7,23.95
2000-02-28,28.4,19.9,24.15
2000-02-29,27.6,19.6,23.6
2000-03-01,26.9,19.3,23.1
2000-03-02,26.5,18.5,22.5
2000-03-03,26.6,18.5,22.55
2000-03-04,27.6,18.4,23.0
2000-03-05,28.7,19.6,24.15
2000-03-06,29.3,20.4,24.85
2000-03-07,24.9,18.6,21.75
2000-03-08,21.6,16.3,18.950000000000003
2000-03-09,23.5,14.4,18.95
2000-03-10,22.5,15.8,19.15
2000-03-11,22.2,16.6,19.4
2000-03-12,22.1,16.3,19.200000000000003
2000-03-13,23.7,13.8,18.75
2000-03-14,25.6,13.6,19.6
2000-03-15,25.3,15.6,20.45
2000-03-16,24.7,18.3,21.5
2000-03-17,26.2,18.4,22.299999999999997
2000-03-18,25.7,18.5,22.1
2000-03-19,22.1,17.4,19.75
2000-03-20,22.2,16.8,19.5
2000-03-21,24.4,18.1,21.25
2000-03-22,25.1,18.7,21.9
2000-03-23,25.3,18.2,21.75
2000-03-24,28.4,18.0,23.2
2000-03-25,24.2,19.1,21.65
2000-03-26,25.9,18.2,22.049999999999997
2000-03-27,27.9,18.9,23.4
2000-03-28,28.0,18.4,23.2
2000-03-29,20.1,18.5,19.3
2000-03-30,21.3,18.2,19.75
2000-03-31,25.4,18.0,21.7
2000-04-01,25.8,17.5,21.65
2000-04-02,22.2,16.6,19.4
2000-04-03,20.8,15.0,17.9
2000-04-04,22.4,14.2,18.299999999999997
2000-04-05,24.3,14.9,19.6
2000-04-06,24.8,16.4,20.6
2000-04-07,25.7,17.0,21.35
2000-04-08,26.7,17.4,22.049999999999997
2000-04-09,26.8,17.7,22.25
2000-04-10,26.3,18.1,22.200000000000003
2000-04-11,27.3,17.9,22.6
2000-04-12,27.9,17.0,22.45
2000-04-13,26.8,17.3,22.05
2000-04-14,27.2,17.5,22.35
2000-04-15,24.9,18.4,21.65
2000-04-16,24.5,16.3,20.4
2000-04-17,26.1,15.2,20.65
2000-04-18,27.4,16.0,21.7
2000-04-19,24.0,19.6,21.8
2000-04-20,23.3,15.9,19.6
2000-04-21,22.7,13.0,17.85
2000-04-22,20.1,14.5,17.3
2000-04-23,22.6,14.4,18.5
2000-04-24,25.6,13.5,19.55
2000-04-25,25.4,13.8,19.6
2000-04-26,25.2,13.8,19.5
2000-04-27,25.4,15.1,20.25
2000-04-28,26.0,15.2,20.6
2000-04-29,26.2,15.3,20.75
2000-04-30,27.5,16.8,22.15
2000-05-01,27.6,16.7,22.15
2000-05-02,28.5,17.9,23.2
2000-05-03,28.4,18.2,23.299999999999997
2000-05-04,27.8,18.6,23.200000000000003
2000-05-05,28.2,17.9,23.049999999999997
2000-05-06,26.8,18.7,22.75
2000-05-07,23.0,15.3,19.15
2000-05-08,22.8,14.8,18.8
2000-05-09,21.2,14.3,17.75
2000-05-10,18.8,13.3,16.05
2000-05-11,18.3,12.8,15.55
2000-05-12,20.6,12.1,16.35
2000-05-13,22.4,12.5,17.45
2000-05-14,23.0,13.8,18.4
2000-05-15,24.8,14.1,19.45
2000-05-16,26.3,15.3,20.8
2000-05-17,23.9,17.2,20.549999999999997
2000-05-18,18.8,12.1,15.45
2000-05-19,17.8,13.2,15.5
2000-05-20,17.8,12.6,15.2
2000-05-21,18.2,12.0,15.1
2000-05-22,20.0,11.3,15.65
2000-05-23,21.8,12.4,17.1
2000-05-24,22.2,14.1,18.15
2000-05-25,24.3,13.1,18.7
2000-05-26,25.5,14.5,20.0
2000-05-27,18.9,15.3,17.1
2000-05-28,19.7,10.6,15.149999999999999
2000-05-29,18.9,7.6,13.25
2000-05-30,22.4,6.8,14.6
2000-05-31,21.9,11.5,16.7
2000-06-01,18.2,12.5,15.35
2000-06-02,18.8,12.0,15.4
2000-06-03,20.9,12.5,16.7
2000-06-04,21.7,14.0,17.85
2000-06-05,23.1,12.9,18.0
2000-06-06,24.0,11.7,17.85
2000-06-07,24.3,12.8,18.55
2000-06-08,24.1,12.2,18.15
2000-06-09,24.6,14.3,19.450000000000003
2000-06-10,22.8,15.3,19.05
2000-06-11,24.4,13.2,18.799999999999997
2000-06-12,25.1,14.5,19.8
2000-06-13,24.6,13.8,19.200000000000003
2000-06-14,25.6,13.9,19.75
2000-06-15,25.3,14.7,20.0
2000-06-16,25.8,14.1,19.95
2000-06-17,25.7,14.5,20.1
2000-06-18,25.7,14.8,20.25
2000-06-19,24.0,13.8,18.9
2000-06-20,23.3,14.4,18.85
2000-06-21,16.6,11.8,14.200000000000001
2000-06-22,18.6,8.3,13.450000000000001
2000-06-23,23.1,7.4,15.25
2000-06-24,25.0,10.3,17.65
2000-06-25,26.5,13.9,20.2
2000-06-26,26.9,14.6,20.75
2000-06-27,24.9,14.7,19.799999999999997
2000-06-28,26.2,14.3,20.25
2000-06-29,26.3,14.3,20.3
2000-06-30,22.2,15.2,18.7
2000-07-01,23.0,14.6,18.8
2000-07-02,26.0,13.1,19.55
2000-07-03,18.7,13.5,16.1
2000-07-04,18.9,12.6,15.75
2000-07-05,22.3,12.2,17.25
2000-07-06,24.3,13.5,18.9
2000-07-07,24.0,11.9,17.95
2000-07-08,25.0,13.1,19.05
2000-07-09,26.4,14.0,20.2
2000-07-10,26.1,13.4,19.75
2000-07-11,26.4,17.2,21.799999999999997
2000-07-12,18.0,11.9,14.95
2000-07-13,17.6,10.0,13.8
2000-07-14,13.7,8.7,11.2
2000-07-15,24.0,9.7,16.85
2000-07-16,17.2,8.2,12.7
2000-07-17,13.3,4.1,8.7
2000-07-18,17.5,3.3,10.4
2000-07-19,15.8,9.4,12.600000000000001
2000-07-20,16.8,5.5,11.15
2000-07-21,22.7,3.5,13.1
2000-07-22,26.6,11.6,19.1
2000-07-23,17.0,10.3,13.65
2000-07-24,14.5,8.5,11.5
2000-07-25,17.4,8.4,12.899999999999999
2000-07-26,15.8,10.8,13.3
2000-07-27,16.2,10.4,13.3
2000-07-28,18.9,8.7,13.799999999999999
2000-07-29,21.3,8.9,15.100000000000001
2000-07-30,22.3,9.4,15.850000000000001
2000-07-31,20.8,11.6,16.2
2000-08-01,22.5,12.1,17.3
2000-08-02,23.7,13.0,18.35
2000-08-03,21.5,13.7,17.6
2000-08-04,13.5,8.6,11.05
2000-08-05,16.4,7.7,12.049999999999999
2000-08-06,22.8,8.5,15.65
2000-08-07,24.6,12.7,18.65
2000-08-08,25.7,12.6,19.15
2000-08-09,26.6,13.4,20.0
2000-08-10,15.8,12.7,14.25
2000-08-11,12.6,8.6,10.6
2000-08-12,11.6,6.7,9.15
2000-08-13,15.9,7.3,11.6
2000-08-14,22.6,8.4,15.5
2000-08-15,26.4,12.1,19.25
2000-08-16,17.2,12.6,14.899999999999999
2000-08-17,23.5,12.6,18.05
2000-08-18,20.6,12.4,16.5
2000-08-19,20.1,11.9,16.0
2000-08-20,25.2,12.6,18.9
2000-08-21,26.1,13.3,19.700000000000003
2000-08-22,25.8,12.0,18.9
2000-08-23,26.5,14.2,20.35
2000-08-24,27.4,14.1,20.75
2000-08-25,28.8,14.5,21.65
2000-08-26,30.2,18.1,24.15
2000-08-27,27.1,15.8,21.450000000000003
2000-08-28,18.1,12.7,15.4
2000-08-29,19.7,10.3,15.0
2000-08-30,21.7,11.2,16.45
2000-08-31,23.0,13.8,18.4
2000-09-01,22.0,13.9,17.95
2000-09-02,14.7,13.3,14.0
2000-09-03,14.2,11.1,12.649999999999999
2000-09-04,13.9,10.5,12.2
2000-09-05,18.6,11.3,14.950000000000001
2000-09-06,15.9,13.2,14.55
2000-09-07,19.8,13.2,16.5
2000-09-08,22.9,11.9,17.4
2000-09-09,23.3,14.2,18.75
2000-09-10,25.7,14.0,19.85
2000-09-11,27.1,17.0,22.05
2000-09-12,26.5,18.4,22.45
2000-09-13,27.1,18.2,22.65
2000-09-14,26.2,17.0,21.6
2000-09-15,26.0,16.8,21.4
2000-09-16,18.5,14.8,16.65
2000-09-17,18.1,14.5,16.3
2000-09-18,25.2,15.1,20.15
2000-09-19,27.2,15.7,21.45
2000-09-20,26.9,15.3,21.1
2000-09-21,28.2,17.4,22.799999999999997
2000-09-22,22.0,15.5,18.75
2000-09-23,26.4,15.2,20.799999999999997
2000-09-24,29.0,15.2,22.1
2000-09-25,14.9,11.0,12.95
2000-09-26,12.4,10.5,11.45
2000-09-27,17.4,11.8,14.6
2000-09-28,21.9,12.3,17.1
2000-09-29,23.8,14.2,19.0
2000-09-30,24.4,14.3,19.35
2000-10-01,25.7,15.2,20.45
