lon,date,temp_max,temp_min,temp
-46.63611,2015-01-01,31.1,21.5,26.3
-46.63611,2015-01-02,30.9,21.8,26.35
-46.63611,2015-01-03,25.6,21.1,23.35
-46.63611,2015-01-04,26.3,21.3,23.8
-46.63611,2015-01-05,25.1,20.3,22.700000000000003
-46.63611,2015-01-06,27.9,20.1,24.0
-46.63611,2015-01-07,30.3,19.9,25.1
-46.63611,2015-01-08,29.8,19.3,24.55
-46.63611,2015-01-09,30.6,20.3,25.450000000000003
-46.63611,2015-01-10,31.2,21.2,26.2
-46.63611,2015-01-11,32.1,21.7,26.9
-46.63611,2015-01-12,33.2,22.4,27.8
-46.63611,2015-01-13,29.7,23.0,26.35
-46.63611,2015-01-14,31.5,22.7,27.1
-46.63611,2015-01-15,29.6,21.1,25.35
-46.63611,2015-01-16,29.8,21.3,25.55
-46.63611,2015-01-17,32.4,21.1,26.75
-46.63611,2015-01-18,32.1,22.0,27.05
-46.63611,2015-01-19,33.1,21.0,27.05
-46.63611,2015-01-20,33.2,20.2,26.700000000000003
-46.63611,2015-01-21,30.8,20.6,25.700000000000003
-46.63611,2015-01-22,26.2,19.6,22.9
-46.63611,2015-01-23,24.8,18.7,21.75
-46.63611,2015-01-24,26.9,18.5,22.7
-46.63611,2015-01-25,29.0,18.3,23.65
-46.63611,2015-01-26,28.5,19.9,24.2
-46.63611,2015-01-27,27.8,20.6,24.200000000000003
-46.63611,2015-01-28,29.4,21.1,25.25
-46.63611,2015-01-29,27.7,21.3,24.5
-46.63611,2015-01-30,24.3,20.2,22.25
-46.63611,2015-01-31,23.6,19.0,21.3
-46.63611,2015-02-01,26.2,19.9,23.049999999999997
-46.63611,2015-02-02,26.9,20.0,23.45
-46.63611,2015-02-03,26.6,18.3,22.450000000000003
-46.63611,2015-02-04,25.5,20.0,22.75
-46.63611,2015-02-05,25.2,18.9,22.049999999999997
-46.63611,2015-02-06,23.7,17.0,20.35
-46.63611,2015-02-07,26.1,18.2,22.15
-46.63611,2015-02-08,26.5,17.2,21.85
-46.63611,2015-02-09,27.6,18.2,22.9
-46.63611,2015-02-10,27.9,19.5,23.7
-46.63611,2015-02-11,28.5,19.7,24.1
-46.63611,2015-02-12,30.6,20.4,25.5
-46.63611,2015-02-13,30.1,21.1,25.6
-46.63611,2015-02-14,29.4,20.7,25.049999999999997
-46.63611,2015-02-15,25.4,19.2,22.299999999999997
-46.63611,2015-02-16,24.2,18.3,21.25
-46.63611,2015-02-17,24.2,19.2,21.7
-46.63611,2015-02-18,24.1,19.6,21.85
-46.63611,2015-02-19,26.6,20.7,23.65
-46.63611,2015-02-20,27.0,20.8,23.9
-46.63611,2015-02-21,28.9,19.9,24.4
-46.63611,2015-02-22,28.4,19.3,23.85
-46.63611,2015-02-23,29.0,20.1,24.55
-46.63611,2015-02-24,29.6,20.9,25.25
-46.63611,2015-02-25,29.1,19.0,24.05
-46.63611,2015-02-26,28.2,19.2,23.7
-46.63611,2015-02-27,29.3,19.2,24.25
-46.63611,2015-02-28,25.3,19.2,22.25
-46.63611,2015-03-01,23.8,17.7,20.75
-46.63611,2015-03-02,27.1,16.2,21.65
-46.63611,2015-03-03,27.8,17.4,22.6
-46.63611,2015-03-04,27.3,17.9,22.6
-46.63611,2015-03-05,28.0,18.8,23.4
-46.63611,2015-03-06,27.4,20.0,23.7
-46.63611,2015-03-07,24.5,20.2,22.35
-46.63611,2015-03-08,25.2,19.7,22.45
-46.63611,2015-03-09,24.1,19.1,21.6
-46.63611,2015-03-10,24.9,18.8,21.85
-46.63611,2015-03-11,26.4,19.3,22.85
-46.63611,2015-03-12,26.4,18.6,22.5
-46.63611,2015-03-13,26.9,19.5,23.2
-46.63611,2015-03-14,26.1,19.3,22.700000000000003
-46.63611,2015-03-15,26.6,20.1,23.35
-46.63611,2015-03-16,27.1,18.8,22.950000000000003
-46.63611,2015-03-17,24.8,19.3,22.05
-46.63611,2015-03-18,22.6,18.4,20.5
-46.63611,2015-03-19,24.4,18.8,21.6
-46.63611,2015-03-20,26.5,18.9,22.7
-46.63611,2015-03-21,24.3,19.0,21.65
-46.63611,2015-03-22,21.8,18.2,20.0
-46.63611,2015-03-23,23.0,16.9,19.95
-46.63611,2015-03-24,24.6,16.1,20.35
