date,temp_max,temp_min,month,temp
2014-01-01,35.8,23.9,1,29.849999999999998
2014-01-02,34.5,25.5,1,30.0
2014-01-03,33.2,22.7,1,27.950000000000003
2014-01-04,32.5,23.5,1,28.0
2014-01-05,34.8,23.6,1,29.2
2014-01-06,33.0,23.2,1,28.1
2014-01-07,31.3,22.4,1,26.85
2014-01-08,33.4,22.1,1,27.75
2014-01-09,31.3,23.2,1,27.25
2014-01-10,31.8,22.5,1,27.15
2014-01-11,31.4,22.7,1,27.049999999999997
2014-01-12,30.9,23.2,1,27.049999999999997
2014-01-13,26.9,22.2,1,24.549999999999997
2014-01-14,31.0,22.9,1,26.95
2014-01-15,28.2,22.5,1,25.35
2014-01-16,30.3,22.5,1,26.4
2014-01-17,32.0,22.8,1,27.4
2014-01-18,32.4,23.8,1,28.1
2014-01-19,31.4,24.7,1,28.049999999999997
2014-01-20,30.5,23.5,1,27.0
2014-01-21,31.4,22.8,1,27.1
2014-01-22,32.3,23.3,1,27.799999999999997
2014-01-23,32.2,23.3,1,27.75
2014-01-24,31.8,23.9,1,27.85
2014-01-25,26.3,21.9,1,24.1
2014-01-26,30.6,21.9,1,26.25
2014-01-27,30.7,21.9,1,26.299999999999997
2014-01-28,28.8,22.5,1,25.65
2014-01-29,31.8,22.1,1,26.950000000000003
2014-01-30,29.2,23.3,1,26.25
2014-01-31,29.7,22.3,1,26.0
2014-02-01,30.8,22.4,2,26.6
2014-02-02,30.4,22.8,2,26.6
2014-02-03,30.5,23.4,2,26.95
2014-02-04,28.5,22.7,2,25.6
2014-02-05,30.7,22.7,2,26.7
2014-02-06,28.1,23.2,2,25.65
2014-02-07,32.3,22.6,2,27.45
2014-02-08,30.8,22.9,2,26.85
2014-02-09,29.0,22.4,2,25.7
2014-02-10,31.2,23.1,2,27.15
2014-02-11,31.2,23.2,2,27.2
2014-02-12,30.4,22.8,2,26.6
2014-02-13,27.8,22.9,2,25.35
2014-02-14,28.7,22.7,2,25.7
2014-02-15,29.7,22.6,2,26.15
2014-02-16,27.3,22.4,2,24.85
2014-02-17,26.5,22.2,2,24.35
2014-02-18,31.3,22.8,2,27.05
2014-02-19,30.2,22.0,2,26.1
2014-02-20,28.9,22.8,2,25.85
2014-02-21,31.1,23.2,2,27.15
2014-02-22,31.9,23.0,2,27.45
2014-02-23,31.6,22.9,2,27.25
2014-02-24,31.6,23.1,2,27.35
2014-02-25,32.1,23.2,2,27.65
2014-02-26,30.0,23.7,2,26.85
2014-02-27,29.9,23.5,2,26.7
2014-02-28,29.7,22.8,2,26.25
2014-03-01,30.9,23.3,3,27.1
2014-03-02,29.7,22.9,3,26.299999999999997
2014-03-03,28.0,22.5,3,25.25
2014-03-04,28.9,23.0,3,25.95
2014-03-05,30.4,22.6,3,26.5
2014-03-06,30.3,22.6,3,26.450000000000003
2014-03-07,28.2,22.2,3,25.2
2014-03-08,29.8,22.8,3,26.3
2014-03-09,28.4,22.3,3,25.35
2014-03-10,29.7,22.8,3,26.25
2014-03-11,29.1,22.3,3,25.700000000000003
2014-03-12,30.0,22.5,3,26.25
2014-03-13,29.2,22.6,3,25.9
2014-03-14,30.1,22.9,3,26.5
2014-03-15,30.6,23.2,3,26.9
2014-03-16,27.7,22.4,3,25.049999999999997
2014-03-17,29.8,22.1,3,25.950000000000003
2014-03-18,30.6,22.6,3,26.6
2014-03-19,29.9,22.4,3,26.15
2014-03-20,31.4,23.0,3,27.2
2014-03-21,31.8,23.5,3,27.65
2014-03-22,32.2,23.7,3,27.950000000000003
2014-03-23,31.6,24.1,3,27.85
2014-03-24,31.3,22.6,3,26.950000000000003
2014-03-25,31.1,23.0,3,27.05
2014-03-26,30.7,22.2,3,26.45
2014-03-27,30.6,23.0,3,26.8
2014-03-28,30.0,23.1,3,26.55
2014-03-29,28.5,22.9,3,25.7
2014-03-30,30.5,22.1,3,26.3
2014-03-31,30.6,22.3,3,26.450000000000003
2014-04-01,31.2,22.8,4,27.0
2014-04-02,29.0,23.1,4,26.05
2014-04-03,29.4,22.9,4,26.15
2014-04-04,28.2,22.8,4,25.5
2014-04-05,31.3,23.0,4,27.15
2014-04-06,31.0,23.0,4,27.0
2014-04-07,30.5,22.9,4,26.7
2014-04-08,29.4,23.1,4,26.25
2014-04-09,29.9,22.7,4,26.299999999999997
2014-04-10,28.9,22.4,4,25.65
2014-04-11,29.0,23.0,4,26.0
2014-04-12,29.5,22.6,4,26.05
2014-04-13,29.9,22.3,4,26.1
2014-04-14,30.7,22.4,4,26.549999999999997
2014-04-15,30.0,24.2,4,27.1
2014-04-16,30.4,23.2,4,26.799999999999997
2014-04-17,30.2,22.8,4,26.5
2014-04-18,29.9,22.6,4,26.25
2014-04-19,29.8,22.8,4,26.3
2014-04-20,30.6,23.1,4,26.85
2014-04-21,30.4,22.8,4,26.6
2014-04-22,30.7,23.7,4,27.2
2014-04-23,30.4,23.4,4,26.9
2014-04-24,30.5,23.0,4,26.75
2014-04-25,30.9,23.6,4,27.25
2014-04-26,29.0,23.2,4,26.1
2014-04-27,28.0,23.1,4,25.55
2014-04-28,28.2,22.5,4,25.35
2014-04-29,29.5,23.1,4,26.3
2014-04-30,29.0,22.9,4,25.95
2014-05-01,29.7,24.0,5,26.85
2014-05-02,29.9,22.6,5,26.25
2014-05-03,29.9,23.0,5,26.45
2014-05-04,28.9,22.7,5,25.799999999999997
2014-05-05,30.1,23.9,5,27.0
2014-05-06,30.2,24.0,5,27.1
2014-05-07,29.5,23.3,5,26.4
2014-05-08,29.9,22.5,5,26.2
2014-05-09,30.2,23.1,5,26.65
2014-05-10,30.3,23.3,5,26.8
2014-05-11,29.5,23.4,5,26.45
2014-05-12,29.3,23.0,5,26.15
2014-05-13,29.1,24.2,5,26.65
2014-05-14,30.8,22.8,5,26.8
2014-05-15,30.5,23.8,5,27.15
2014-05-16,30.6,22.6,5,26.6
2014-05-17,30.7,22.8,5,26.75
2014-05-18,30.5,22.6,5,26.55
