date,temp_max,temp_min,temp
2024-01-01,25.4,14.7,20.049999999999997
2024-01-02,23.2,14.9,19.05
2024-01-03,24.7,14.8,19.75
2024-01-04,23.4,13.4,18.4
2024-01-05,23.1,13.9,18.5
2024-01-06,25.2,15.1,20.15
2024-01-07,27.2,16.0,21.6
2024-01-08,28.8,16.2,22.5
2024-01-09,29.4,16.7,23.049999999999997
2024-01-10,29.4,15.9,22.65
2024-01-11,25.7,17.1,21.4
2024-01-12,27.4,17.1,22.25
2024-01-13,25.4,15.9,20.65
2024-01-14,27.5,15.6,21.55
2024-01-15,24.5,16.3,20.4
2024-01-16,26.3,17.3,21.8
2024-01-17,23.7,18.0,20.85
2024-01-18,24.4,17.9,21.15
2024-01-19,26.0,17.2,21.6
2024-01-20,24.6,17.1,20.85
2024-01-21,25.8,15.5,20.65
2024-01-22,18.7,13.3,16.0
2024-01-23,19.8,12.7,16.25
2024-01-24,20.8,11.9,16.35
2024-01-25,20.2,11.2,15.7
2024-01-26,20.2,9.3,14.75
2024-01-27,19.6,10.9,15.25
2024-01-28,22.5,12.8,17.65
2024-01-29,23.2,12.4,17.8
2024-01-30,24.8,12.1,18.45
2024-01-31,26.0,13.5,19.75
2024-02-01,26.0,16.0,21.0
2024-02-02,25.0,15.9,20.45
2024-02-03,25.2,15.7,20.45
2024-02-04,26.1,14.9,20.5
2024-02-05,27.5,15.0,21.25
2024-02-06,27.4,17.5,22.45
2024-02-07,27.8,16.4,22.1
2024-02-08,27.9,16.1,22.0
2024-02-09,27.7,17.1,22.4
2024-02-10,27.4,16.9,22.15
2024-02-11,28.2,17.7,22.95
2024-02-12,28.2,17.0,22.6
2024-02-13,22.9,18.5,20.7
2024-02-14,22.6,14.8,18.700000000000003
2024-02-15,18.5,13.6,16.05
2024-02-16,19.9,14.8,17.35
2024-02-17,23.6,15.7,19.65
2024-02-18,23.8,16.3,20.05
2024-02-19,23.1,15.8,19.450000000000003
2024-02-20,22.3,15.2,18.75
2024-02-21,22.6,13.8,18.200000000000003
2024-02-22,23.6,15.5,19.55
2024-02-23,25.8,16.1,20.950000000000003
2024-02-24,26.1,16.6,21.35
2024-02-25,26.4,17.8,22.1
2024-02-26,25.1,16.8,20.950000000000003
2024-02-27,25.5,17.8,21.65
2024-02-28,26.9,17.0,21.95
2024-02-29,25.6,17.4,21.5
2024-03-01,24.8,15.2,20.0
2024-03-02,24.8,16.1,20.450000000000003
2024-03-03,26.7,14.4,20.55
2024-03-04,24.3,16.5,20.4
2024-03-05,23.2,15.4,19.3
2024-03-06,22.8,14.7,18.75
2024-03-07,23.3,15.6,19.45
2024-03-08,20.7,17.0,18.85
2024-03-09,24.3,16.2,20.25
2024-03-10,26.8,15.3,21.05
2024-03-11,26.0,14.0,20.0
2024-03-12,27.2,14.9,21.05
2024-03-13,27.1,12.6,19.85
2024-03-14,28.1,12.9,20.5
2024-03-15,27.6,15.6,21.6
2024-03-16,28.2,18.0,23.1
2024-03-17,22.5,16.8,19.65
2024-03-18,26.4,17.6,22.0
2024-03-19,24.7,17.1,20.9
2024-03-20,26.7,17.2,21.95
2024-03-21,23.4,14.9,19.15
2024-03-22,21.1,13.6,17.35
2024-03-23,17.8,10.5,14.15
2024-03-24,21.7,13.3,17.5
2024-03-25,23.9,13.3,18.6
2024-03-26,23.3,13.0,18.15
2024-03-27,22.7,14.0,18.35
2024-03-28,23.6,13.0,18.3
2024-03-29,23.0,13.1,18.05
2024-03-30,24.3,14.0,19.15
2024-03-31,25.3,13.2,19.25
2024-04-01,25.2,15.6,20.4
2024-04-02,24.6,13.7,19.15
2024-04-03,27.2,15.6,21.4
2024-04-04,27.1,16.0,21.55
2024-04-05,26.7,16.8,21.75
2024-04-06,21.9,14.6,18.25
2024-04-07,18.1,12.9,15.5
2024-04-08,21.1,14.7,17.9
2024-04-09,24.9,14.9,19.9
2024-04-10,25.2,13.9,19.55
2024-04-11,21.8,15.5,18.65
2024-04-12,22.7,15.6,19.15
2024-04-13,23.0,15.5,19.25
2024-04-14,18.2,17.0,17.6
2024-04-15,20.5,16.6,18.55
2024-04-16,18.1,16.6,17.35
2024-04-17,18.8,9.4,14.100000000000001
2024-04-18,18.6,7.6,13.100000000000001
2024-04-19,20.2,7.3,13.75
2024-04-20,21.4,9.2,15.299999999999999
2024-04-21,23.1,8.8,15.950000000000001
2024-04-22,23.1,9.9,16.5
2024-04-23,21.2,13.0,17.1
2024-04-24,22.4,14.6,18.5
2024-04-25,20.6,15.0,17.8
2024-04-26,24.5,14.8,19.65
2024-04-27,24.2,14.0,19.1
2024-04-28,21.2,16.5,18.85
2024-04-29,24.4,15.4,19.9
2024-04-30,25.2,14.5,19.85
2024-05-01,24.0,15.1,19.55
2024-05-02,23.3,15.4,19.35
2024-05-03,18.1,15.3,16.700000000000003
2024-05-04,22.5,15.4,18.95
2024-05-05,24.9,14.9,19.9
2024-05-06,23.7,13.8,18.75
2024-05-07,24.1,13.2,18.65
2024-05-08,23.2,16.0,19.6
2024-05-09,23.1,16.0,19.55
2024-05-10,22.8,15.3,19.05
2024-05-11,23.3,14.3,18.8
2024-05-12,23.2,13.6,18.4
2024-05-13,18.4,13.0,15.7
2024-05-14,14.0,7.9,10.95
2024-05-15,15.5,5.3,10.4
2024-05-16,19.5,12.1,15.8
2024-05-17,19.4,14.3,16.85
2024-05-18,16.1,12.6,14.350000000000001
2024-05-19,14.2,10.4,12.3
2024-05-20,17.8,4.2,11.0
2024-05-21,20.0,8.3,14.15
2024-05-22,22.7,12.3,17.5
2024-05-23,22.6,13.6,18.1
2024-05-24,15.5,7.8,11.65
2024-05-25,13.1,6.6,9.85
2024-05-26,11.1,4.9,8.0
2024-05-27,11.9,7.2,9.55
2024-05-28,9.7,3.1,6.3999999999999995
2024-05-29,13.4,5.0,9.2
2024-05-30,16.1,3.3,9.700000000000001
2024-05-31,15.7,4.7,10.2
2024-06-01,17.2,6.4,11.8
2024-06-02,19.7,7.0,13.35
2024-06-03,18.7,9.9,14.3
2024-06-04,16.2,10.1,13.149999999999999
2024-06-05,20.4,9.9,15.149999999999999
