lon,date,temp_max,temp_min,precipitacao,temp
-48.50444,2000-01-01,27.7,23.9,28.8,25.799999999999997
-48.50444,2000-01-02,27.0,23.7,17.1,25.35
-48.50444,2000-01-03,28.4,24.2,24.3,26.299999999999997
-48.50444,2000-01-04,27.8,23.6,4.2,25.700000000000003
-48.50444,2000-01-05,28.2,23.3,14.3,25.75
-48.50444,2000-01-06,29.0,23.6,1.3,26.3
-48.50444,2000-01-07,28.4,23.4,11.1,25.9
-48.50444,2000-01-08,27.2,23.2,9.0,25.2
-48.50444,2000-01-09,28.8,23.0,10.6,25.9
-48.50444,2000-01-10,28.4,23.3,2.7,25.85
-48.50444,2000-01-11,28.0,23.3,9.1,25.65
-48.50444,2000-01-12,25.9,23.1,24.3,24.5
-48.50444,2000-01-13,26.7,23.8,13.1,25.25
-48.50444,2000-01-14,29.6,23.1,1.4,26.35
-48.50444,2000-01-15,28.2,23.4,8.9,25.799999999999997
-48.50444,2000-01-16,28.3,23.6,9.5,25.950000000000003
-48.50444,2000-01-17,29.8,23.5,5.8,26.65
-48.50444,2000-01-18,28.6,23.3,9.1,25.950000000000003
-48.50444,2000-01-19,26.8,23.5,15.2,25.15
-48.50444,2000-01-20,28.7,23.2,9.3,25.95
-48.50444,2000-01-21,27.1,23.3,11.7,25.200000000000003
-48.50444,2000-01-22,27.7,23.3,15.0,25.5
-48.50444,2000-01-23,27.0,23.5,8.5,25.25
-48.50444,2000-01-24,28.8,23.5,7.6,26.15
-48.50444,2000-01-25,29.8,23.9,0.9,26.85
-48.50444,2000-01-26,30.6,24.3,1.2,27.450000000000003
-48.50444,2000-01-27,31.0,24.5,1.7,27.75
-48.50444,2000-01-28,30.1,24.3,5.1,27.200000000000003
-48.50444,2000-01-29,28.1,24.5,4.5,26.3
-48.50444,2000-01-30,29.7,24.2,1.9,26.95
-48.50444,2000-01-31,30.4,24.4,10.0,27.4
-48.50444,2000-02-01,28.1,24.1,7.7,26.1
-48.50444,2000-02-02,27.9,23.7,11.5,25.799999999999997
-48.50444,2000-02-03,28.8,23.6,9.3,26.200000000000003
-48.50444,2000-02-04,27.8,23.6,12.3,25.700000000000003
-48.50444,2000-02-05,28.6,23.5,7.5,26.05
-48.50444,2000-02-06,27.5,23.4,21.3,25.45
-48.50444,2000-02-07,26.3,23.5,13.0,24.9
-48.50444,2000-02-08,27.4,23.4,10.6,25.4
-48.50444,2000-02-09,25.8,23.4,19.4,24.6
-48.50444,2000-02-10,26.8,22.9,35.3,24.85
-48.50444,2000-02-11,28.8,23.3,13.2,26.05
-48.50444,2000-02-12,26.2,22.9,17.1,24.549999999999997
-48.50444,2000-02-13,26.9,23.0,19.3,24.95
-48.50444,2000-02-14,27.9,22.4,14.5,25.15
-48.50444,2000-02-15,27.1,22.3,19.2,24.700000000000003
-48.50444,2000-02-16,28.4,23.1,6.6,25.75
-48.50444,2000-02-17,26.4,23.2,25.0,24.799999999999997
-48.50444,2000-02-18,26.7,23.1,11.9,24.9
-48.50444,2000-02-19,27.9,22.8,20.3,25.35
-48.50444,2000-02-20,27.5,22.6,15.5,25.05
-48.50444,2000-02-21,28.7,23.2,9.0,25.95
-48.50444,2000-02-22,27.4,23.4,10.4,25.4
-48.50444,2000-02-23,26.6,23.4,14.8,25.0
-48.50444,2000-02-24,27.6,23.2,12.9,25.4
-48.50444,2000-02-25,29.1,23.0,6.8,26.05
-48.50444,2000-02-26,28.8,23.7,6.7,26.25
-48.50444,2000-02-27,26.5,23.4,34.3,24.95
-48.50444,2000-02-28,26.6,23.4,18.1,25.0
-48.50444,2000-02-29,29.0,23.2,11.6,26.1
-48.50444,2000-03-01,28.2,23.0,11.1,25.6
-48.50444,2000-03-02,28.8,23.8,13.6,26.3
-48.50444,2000-03-03,28.7,23.4,26.2,26.049999999999997
-48.50444,2000-03-04,28.3,23.4,16.3,25.85
-48.50444,2000-03-05,29.2,23.3,17.6,26.25
-48.50444,2000-03-06,28.7,23.8,15.8,26.25
-48.50444,2000-03-07,28.0,23.9,24.3,25.95
-48.50444,2000-03-08,27.6,23.7,16.2,25.65
-48.50444,2000-03-09,26.1,23.2,8.6,24.65
-48.50444,2000-03-10,27.8,23.2,10.5,25.5
-48.50444,2000-03-11,28.5,23.5,8.6,26.0
-48.50444,2000-03-12,27.4,23.7,9.9,25.549999999999997
-48.50444,2000-03-13,26.6,23.2,16.0,24.9
-48.50444,2000-03-14,26.4,23.8,16.1,25.1
-48.50444,2000-03-15,28.0,23.1,10.2,25.55
-48.50444,2000-03-16,28.0,23.2,14.7,25.6
-48.50444,2000-03-17,29.1,23.1,11.9,26.1
-48.50444,2000-03-18,28.8,23.3,8.8,26.05
-48.50444,2000-03-19,28.6,23.4,11.4,26.0
-48.50444,2000-03-20,28.9,23.3,5.4,26.1
-48.50444,2000-03-21,29.0,23.4,5.8,26.2
-48.50444,2000-03-22,29.5,23.4,5.6,26.45
-48.50444,2000-03-23,28.2,23.8,3.6,26.0
-48.50444,2000-03-24,28.5,24.0,5.3,26.25
-48.50444,2000-03-25,28.0,23.9,6.8,25.95
-48.50444,2000-03-26,27.1,23.7,13.4,25.4
-48.50444,2000-03-27,27.6,23.3,20.9,25.450000000000003
-48.50444,2000-03-28,25.5,23.1,44.3,24.3
-48.50444,2000-03-29,27.1,23.4,9.8,25.25
-48.50444,2000-03-30,27.5,24.0,3.6,25.75
-48.50444,2000-03-31,28.7,23.5,6.4,26.1
-48.50444,2000-04-01,26.5,23.4,23.4,24.95
-48.50444,2000-04-02,27.1,23.4,19.3,25.25
-48.50444,2000-04-03,28.2,23.2,7.3,25.7
-48.50444,2000-04-04,28.9,23.5,9.2,26.2
-48.50444,2000-04-05,29.1,23.7,10.9,26.4
-48.50444,2000-04-06,28.2,24.0,10.4,26.1
-48.50444,2000-04-07,27.2,23.7,20.6,25.45
-48.50444,2000-04-08,28.3,23.1,20.6,25.700000000000003
-48.50444,2000-04-09,28.0,24.0,8.6,26.0
-48.50444,2000-04-10,27.4,23.7,31.7,25.549999999999997
-48.50444,2000-04-11,27.2,23.4,18.1,25.299999999999997
-48.50444,2000-04-12,27.6,23.7,6.8,25.65
-48.50444,2000-04-13,27.9,23.3,9.2,25.6
-48.50444,2000-04-14,26.9,23.6,30.1,25.25
-48.50444,2000-04-15,27.0,23.7,10.9,25.35
-48.50444,2000-04-16,27.9,23.8,18.8,25.85
-48.50444,2000-04-17,25.4,23.6,41.3,24.5
-48.50444,2000-04-18,26.7,23.2,22.4,24.95
-48.50444,2000-04-19,26.3,23.4,8.3,24.85
-48.50444,2000-04-20,28.3,23.0,13.2,25.65
-48.50444,2000-04-21,29.0,23.3,9.6,26.15
-48.50444,2000-04-22,28.4,23.6,9.7,26.0
-48.50444,2000-04-23,28.5,24.0,9.6,26.25
-48.50444,2000-04-24,28.7,23.6,11.1,26.15
-48.50444,2000-04-25,27.1,23.7,18.7,25.4
-48.50444,2000-04-26,29.1,23.3,5.7,26.200000000000003
-48.50444,2000-04-27,28.1,23.6,13.3,25.85
-48.50444,2000-04-28,27.7,23.3,12.9,25.5
-48.50444,2000-04-29,26.9,23.1,9.5,25.0
-48.50444,2000-04-30,28.1,23.5,10.0,25.8
