date,temp_max,temp_min,temp
2000-01-01,29.2,24.6,26.9
2000-01-02,28.1,25.0,26.55
2000-01-03,28.5,25.3,26.9
2000-01-04,28.5,23.9,26.2
2000-01-05,26.8,24.0,25.4
2000-01-06,29.0,24.7,26.85
2000-01-07,27.4,24.2,25.799999999999997
2000-01-08,27.2,24.5,25.85
2000-01-09,26.9,24.8,25.85
2000-01-10,28.4,24.3,26.35
2000-01-11,28.3,24.7,26.5
2000-01-12,27.3,24.5,25.9
2000-01-13,29.0,24.8,26.9
2000-01-14,28.8,24.4,26.6
2000-01-15,29.1,24.1,26.6
2000-01-16,28.1,23.7,25.9
2000-01-17,28.8,24.4,26.6
2000-01-18,27.6,24.2,25.9
2000-01-19,27.4,24.3,25.85
2000-01-20,27.5,24.1,25.8
2000-01-21,28.2,24.3,26.25
2000-01-22,27.3,24.2,25.75
2000-01-23,26.5,24.0,25.25
2000-01-24,27.0,24.2,25.6
2000-01-25,28.8,24.1,26.450000000000003
2000-01-26,29.3,25.5,27.4
2000-01-27,29.1,25.1,27.1
2000-01-28,29.6,25.7,27.65
2000-01-29,28.9,25.0,26.95
2000-01-30,29.6,25.1,27.35
2000-01-31,29.0,25.7,27.35
2000-02-01,26.8,24.7,25.75
2000-02-02,26.9,24.6,25.75
2000-02-03,26.5,24.7,25.6
2000-02-04,28.0,24.5,26.25
2000-02-05,27.4,24.5,25.95
2000-02-06,27.9,24.3,26.1
2000-02-07,27.1,24.0,25.55
2000-02-08,26.6,23.9,25.25
2000-02-09,27.1,24.0,25.55
2000-02-10,26.7,24.2,25.45
2000-02-11,27.2,24.4,25.799999999999997
2000-02-12,27.1,23.6,25.35
2000-02-13,28.3,23.8,26.05
2000-02-14,27.4,23.3,25.35
2000-02-15,27.0,23.5,25.25
2000-02-16,28.7,23.7,26.2
2000-02-17,27.6,24.0,25.8
2000-02-18,27.5,23.2,25.35
2000-02-19,28.1,23.0,25.55
2000-02-20,27.7,23.4,25.549999999999997
2000-02-21,28.9,23.9,26.4
2000-02-22,26.6,23.8,25.200000000000003
2000-02-23,27.0,23.9,25.45
2000-02-24,27.3,23.6,25.450000000000003
2000-02-25,28.5,24.0,26.25
2000-02-26,27.4,24.3,25.85
2000-02-27,26.2,24.2,25.2
2000-02-28,27.6,24.1,25.85
2000-02-29,27.7,24.2,25.95
2000-03-01,28.3,24.6,26.450000000000003
2000-03-02,27.2,24.4,25.799999999999997
2000-03-03,27.0,24.1,25.55
2000-03-04,27.8,24.2,26.0
2000-03-05,27.2,24.3,25.75
2000-03-06,27.2,24.5,25.85
2000-03-07,27.8,23.7,25.75
2000-03-08,27.3,24.4,25.85
2000-03-09,27.4,24.3,25.85
2000-03-10,26.7,24.1,25.4
2000-03-11,28.1,24.1,26.1
2000-03-12,27.0,24.2,25.6
2000-03-13,27.4,24.0,25.7
2000-03-14,27.5,24.0,25.75
2000-03-15,27.4,24.5,25.95
2000-03-16,27.4,24.1,25.75
2000-03-17,27.6,24.1,25.85
