date,temp_max,temp_min,temp
2000-01-01,28.1,21.7,24.9
2000-01-02,29.9,21.5,25.7
2000-01-03,26.6,21.7,24.15
2000-01-04,26.7,21.8,24.25
2000-01-05,29.3,21.3,25.3
2000-01-06,29.5,20.9,25.2
2000-01-07,26.5,21.8,24.15
2000-01-08,27.0,21.1,24.05
2000-01-09,29.8,21.4,25.6
2000-01-10,28.9,21.7,25.299999999999997
2000-01-11,29.3,21.8,25.55
2000-01-12,27.9,22.0,24.95
2000-01-13,25.2,21.5,23.35
2000-01-14,26.6,21.4,24.0
2000-01-15,25.6,21.7,23.65
2000-01-16,25.9,21.7,23.799999999999997
2000-01-17,27.4,20.9,24.15
2000-01-18,28.9,21.8,25.35
2000-01-19,26.9,21.4,24.15
2000-01-20,26.1,21.6,23.85
2000-01-21,27.2,22.0,24.6
2000-01-22,29.3,22.5,25.9
2000-01-23,29.4,21.5,25.45
2000-01-24,28.4,22.5,25.45
2000-01-25,26.0,21.8,23.9
2000-01-26,26.3,21.4,23.85
2000-01-27,28.2,22.4,25.299999999999997
2000-01-28,29.7,22.2,25.95
2000-01-29,26.6,22.3,24.450000000000003
2000-01-30,28.7,22.2,25.45
2000-01-31,26.4,22.3,24.35
2000-02-01,25.8,21.6,23.700000000000003
2000-02-02,27.9,22.3,25.1
2000-02-03,29.3,22.2,25.75
2000-02-04,27.1,21.9,24.5
2000-02-05,29.3,22.7,26.0
2000-02-06,28.7,21.8,25.25
2000-02-07,29.0,21.4,25.2
2000-02-08,28.7,20.3,24.5
2000-02-09,27.8,21.9,24.85
2000-02-10,23.4,21.6,22.5
2000-02-11,24.2,21.2,22.7
2000-02-12,26.9,21.5,24.2
2000-02-13,24.9,21.2,23.049999999999997
2000-02-14,26.8,20.6,23.700000000000003
2000-02-15,26.5,21.4,23.95
2000-02-16,28.8,20.7,24.75
2000-02-17,26.3,21.3,23.8
2000-02-18,28.4,21.2,24.799999999999997
2000-02-19,27.2,20.5,23.85
2000-02-20,27.7,21.4,24.549999999999997
2000-02-21,25.0,21.8,23.4
2000-02-22,29.3,20.8,25.05
2000-02-23,28.3,20.4,24.35
2000-02-24,28.4,21.8,25.1
2000-02-25,25.7,22.1,23.9
2000-02-26,27.6,21.4,24.5
2000-02-27,27.4,21.4,24.4
2000-02-28,27.5,21.5,24.5
2000-02-29,27.3,22.3,24.8
2000-03-01,27.0,21.6,24.3
2000-03-02,28.6,22.2,25.4
2000-03-03,29.3,22.1,25.700000000000003
2000-03-04,29.8,22.1,25.950000000000003
2000-03-05,28.6,22.6,25.6
2000-03-06,26.2,22.2,24.2
2000-03-07,25.5,21.7,23.6
2000-03-08,28.7,21.7,25.2
2000-03-09,27.1,21.7,24.4
2000-03-10,27.8,21.4,24.6
2000-03-11,28.1,21.8,24.950000000000003
2000-03-12,26.7,21.7,24.2
2000-03-13,28.2,21.7,24.95
2000-03-14,28.2,21.3,24.75
2000-03-15,27.6,22.6,25.1
2000-03-16,26.0,21.7,23.85
2000-03-17,26.3,21.8,24.05
2000-03-18,23.1,21.0,22.05
2000-03-19,29.6,21.4,25.5
2000-03-20,29.1,21.8,25.450000000000003
2000-03-21,30.2,22.3,26.25
2000-03-22,28.9,21.6,25.25
2000-03-23,30.8,21.8,26.3
2000-03-24,29.5,22.1,25.8
2000-03-25,27.7,21.3,24.5
2000-03-26,26.2,21.7,23.95
2000-03-27,28.4,21.6,25.0
2000-03-28,29.5,20.2,24.85
2000-03-29,29.2,21.0,25.1
2000-03-30,30.3,21.9,26.1
2000-03-31,29.4,22.7,26.049999999999997
2000-04-01,26.9,21.9,24.4
2000-04-02,27.6,21.1,24.35
2000-04-03,28.3,21.3,24.8
2000-04-04,30.0,21.6,25.8
2000-04-05,29.1,21.3,25.200000000000003
2000-04-06,27.6,22.0,24.8
2000-04-07,28.1,21.6,24.85
2000-04-08,25.8,22.1,23.950000000000003
2000-04-09,27.7,21.6,24.65
2000-04-10,28.1,21.4,24.75
2000-04-11,28.2,22.4,25.299999999999997
2000-04-12,27.3,21.4,24.35
2000-04-13,25.3,21.8,23.55
2000-04-14,28.0,20.7,24.35
2000-04-15,28.7,21.5,25.1
2000-04-16,25.3,21.6,23.450000000000003
2000-04-17,23.5,21.7,22.6
2000-04-18,28.4,21.7,25.049999999999997
2000-04-19,29.5,21.9,25.7
2000-04-20,26.8,22.4,24.6
2000-04-21,27.4,22.1,24.75
2000-04-22,27.1,20.9,24.0
2000-04-23,26.2,22.1,24.15
2000-04-24,28.8,21.7,25.25
2000-04-25,27.0,21.7,24.35
2000-04-26,26.8,21.7,24.25
2000-04-27,25.6,21.5,23.55
2000-04-28,23.4,21.1,22.25
2000-04-29,27.4,21.3,24.35
2000-04-30,26.5,21.9,24.2
2000-05-01,24.9,21.9,23.4
2000-05-02,27.0,22.3,24.65
2000-05-03,27.2,22.0,24.6
2000-05-04,27.5,22.2,24.85
2000-05-05,27.0,22.2,24.6
